paper_id,paper,研究创新性,研究创新性_std,现状洞察度,现状洞察度_std,理论建构力,理论建构力_std,逻辑连贯性,逻辑连贯性_std,学术共识度,学术共识度_std,前瞻延展性,前瞻延展性_std,ccb_score,round1_avg_std,round2_avg_std
11,raw/fullpaper/0011-中国法学-2016-6-以刑制罪_视阈下财产罪保护法益的再认识-徐光华-江西财经大学法学院.pdf,65.75,16.16,82.0,4.9,32.5,13.16,85.5,4.39,73.0,10.89,67.5,4.56,68.35,15.43,10.43
12,raw/fullpaper/0012-中国法学-2023-4-但书_出罪运行机制实证研究-夏伟-中国政法大学刑事司法学院.pdf,75.75,12.91,85.5,1.8,74.0,17.13,82.5,2.87,75.5,13.72,73.75,10.92,82.32,15.4,11.42
13,raw/fullpaper/0013-中国法学-2016-5-南海仲裁案_后续法律应对的关键问题研究-管建强-华东政法大学.pdf,36.75,22.17,43.75,7.4,28.5,8.53,64.5,5.77,52.0,4.95,58.25,5.63,43.47,21.12,10.47
14,raw/fullpaper/0014-中国法学-2016-5-南海仲裁案_最终裁决研判与我国的对策-邹立刚-海南大学.pdf,31.25,2.17,23.75,6.5,31.25,4.15,78.0,3.74,47.5,4.33,61.25,15.56,40.49,17.47,7.02
15,raw/fullpaper/0015-中国法学-2016-5-南海仲裁案_有关岛礁的裁决与法律和事实不符-吴慧-国际关系学院.pdf,63.25,8.61,21.25,12.93,46.25,14.31,80.75,2.95,68.0,9.7,46.25,7.4,54.49,23.07,10.73
16,raw/fullpaper/0016-中国法学-2016-5-南海仲裁案_裁决缘何非法无效-马新民-外交部条约法律司.pdf,33.0,2.12,15.0,12.75,38.75,10.83,79.5,6.1,33.75,20.73,20.0,11.18,40.72,23.4,12.23
17,raw/fullpaper/0017-中国法学-2016-1-印证_证明模式反思与重塑_基于中国刑事错案的反思-左卫民-四川大学法学院.pdf,70.0,8.66,54.25,31.77,69.5,7.3,83.75,3.03,82.5,2.18,73.5,4.56,72.44,19.6,11.07
18,raw/fullpaper/0018-中国法学-2017-1-合宪性解释_理论辨析及其可能前景-夏正林-华南理工大学法学院.pdf,63.75,16.86,67.5,7.63,40.0,10.7,84.0,4.24,78.5,3.91,71.75,7.19,65.21,14.92,9.73
19,raw/fullpaper/0019-中国法学-2016-3-土地属于集体所有_的规范属性-刘连泰-厦门大学法学院.pdf,86.25,4.38,62.0,19.09,75.0,10.82,84.75,4.32,85.25,4.09,80.0,1.41,83.21,19.43,8.48
20,raw/fullpaper/0020-中国法学-2018-4-契约＋非要式＋任意撤销权_赠与的理论模式与规范分析-李永军-中国政法大学.pdf,61.75,14.01,81.25,5.54,85.0,7.68,85.5,4.33,85.75,2.49,55.75,8.17,78.03,15.88,8.13
21,raw/fullpaper/0021-中国法学-2023-6-审执分离_本质与路径的再认识-张卫平-烟台大学.pdf,87.0,2.12,84.25,4.26,85.0,7.55,90.25,3.03,88.5,1.12,81.75,2.05,91.76,9.23,3.87
22,raw/fullpaper/0022-中国法学-2019-3-居住权_之定位与规则设计-鲁晓明-广东财经大学法学院.pdf,70.5,19.16,79.25,2.95,81.0,5.34,89.5,4.33,85.5,0.5,77.75,1.79,81.88,12.75,6.57
23,raw/fullpaper/0023-中国法学-2021-6-应税所得_的法律建构与所得税法现代化-施正文-中国政法大学民商经济法学院.pdf,57.25,21.7,73.0,1.73,79.25,4.87,85.75,5.12,87.5,3.28,76.25,3.03,74.54,17.72,7.65
24,raw/fullpaper/0024-中国法学-2020-3-开元六典_的继受传播及对中华法系的影响-胡兴东-云南大学法学院.pdf,32.5,2.5,35.5,2.87,32.5,2.5,61.5,4.09,40.25,6.94,44.25,8.61,40.03,8.2,5.28
25,raw/fullpaper/0025-中国法学-2023-3-技术—组织_互动论视角下的中国智慧司法-郑智航-山东大学法学院.pdf,54.25,4.92,79.5,1.66,59.25,10.92,77.0,1.73,70.25,16.65,46.0,9.38,68.43,15.07,8.7
26,raw/fullpaper/0026-中国法学-2024-5-数字枫桥_的法治原理、模式与机制-杨力-上海交通大学凯原法学院、智慧司法研究院.pdf,49.25,19.73,77.75,6.57,71.0,10.65,78.0,3.08,84.25,5.12,79.5,3.64,66.56,19.52,9.4
27,raw/fullpaper/0027-中国法学-2022-4-无效行政行为_制度的追溯与认定标准的完善-胡建淼-中央党校(国家行政学院)专家工作室.pdf,70.75,2.95,81.5,3.5,70.5,4.33,82.0,3.08,88.0,0.0,74.75,5.97,78.88,13.3,3.82
28,raw/fullpaper/0028-中国法学-2019-1-最高国家权力机关_的权力边界-黄明涛-武汉大学法学院.pdf,67.0,24.38,85.0,2.12,81.0,5.92,86.25,2.17,85.75,1.3,72.25,2.68,81.24,14.88,7.42
29,raw/fullpaper/0029-中国法学-2023-6-枫桥经验_与当代中国纠纷解决机制结构变迁-彭小龙-中国人民大学法学院.pdf,81.5,6.5,90.0,2.92,77.5,4.82,85.75,2.59,87.5,0.87,82.5,2.87,88.79,11.68,3.97
30,raw/fullpaper/0030-中国法学-2018-6-枫桥经验_视野下的基层社会治理制度供给研究-汪世荣-西北政法大学.pdf,36.25,5.45,42.5,16.01,44.25,1.3,65.5,4.77,65.0,4.95,66.5,2.06,46.01,14.43,6.65
31,raw/fullpaper/0031-中国法学-2022-4-法律脱嵌治理_中国式邻避纠纷的制度成因及治理-何艳玲-中国人民大学公共管理学院.pdf,63.5,17.95,84.75,1.79,79.75,4.49,85.75,2.86,85.25,0.43,73.25,2.38,79.6,12.8,5.77
32,raw/fullpaper/0032-中国法学-2016-1-法治中国_命题的理论逻辑及其展开-王旭-中国人民大学法学院.pdf,57.5,11.32,62.25,11.58,53.0,2.12,74.25,3.77,75.5,6.87,66.75,4.66,64.76,18.15,7.75
33,raw/fullpaper/0033-中国法学-2015-1-特区租管地_一种区域合作法律制度创新模式-董皞-广州大学.pdf,32.0,3.46,28.75,19.8,47.5,10.31,82.25,4.71,80.25,5.12,73.25,2.95,45.79,16.72,8.92
34,raw/fullpaper/0034-中国法学-2019-5-犯罪所得投资收益_追缴的影响因素与判断规则-庄绪龙-苏州大学王健法学院.pdf,75.75,1.48,72.5,8.41,73.25,6.46,83.0,2.92,86.5,1.5,67.0,1.22,79.25,10.85,4.23
35,raw/fullpaper/0035-中国法学-2020-1-社会主义公共财产_的宪法定位_合理利用_的规范内涵-李忠夏-山东大学法学院.pdf,72.5,11.76,69.25,10.92,65.5,13.88,63.75,26.54,83.0,2.92,76.5,5.17,71.44,25.8,13.7
36,raw/fullpaper/0036-中国法学-2018-1-绿色原则_在民法典中的贯彻论纲-吕忠梅-清华大学法学院.pdf,60.0,16.58,76.5,3.84,63.0,6.28,84.0,3.67,83.5,3.84,75.5,6.58,73.06,14.2,7.83
37,raw/fullpaper/0037-中国法学-2017-1-蛋壳脑袋_规则之反思与解构-孙鹏-西南政法大学民商法学院.pdf,78.25,13.48,86.5,1.66,83.25,6.61,85.75,1.3,84.25,1.48,73.25,3.7,85.84,13.02,5.43
38,raw/fullpaper/0038-中国法学-2017-5-裁执一体化_财产保全的逻辑与改革-刘君博-中央财经大学法学院.pdf,64.5,12.66,73.75,5.85,88.25,2.49,84.25,3.77,86.5,1.5,78.25,2.49,78.51,12.67,5.53
39,raw/fullpaper/0039-中国法学-2019-2-认_与_缴_二分视角下公司催缴出资制度研究-袁碧华-广州大学法学院.pdf,68.0,13.58,81.5,4.5,84.5,1.5,83.75,1.79,80.25,4.15,67.75,5.85,80.79,12.65,6.05
40,raw/fullpaper/0040-中国法学-2018-4-诉讼爆炸_的中国应对_基于W区法院近三十年审判实践的实证分析-左卫民-四川大学法学院.pdf,40.0,15.0,60.75,10.21,41.25,1.3,65.75,5.12,75.0,4.12,79.75,4.71,51.16,15.6,7.78
41,raw/fullpaper/0041-中国法学-2024-6-超期申请行政复议_的形成逻辑与体系化应对-范伟-中国政法大学法律硕士学院.pdf,74.75,6.98,75.5,2.6,88.0,3.46,88.25,2.49,80.5,5.32,79.5,1.66,83.44,11.57,4.33
42,raw/fullpaper/0042-中国法学-2019-6-长臂管辖权_的法理分析与对策研究-肖永平-武汉大学国际法研究所.pdf,44.75,19.28,66.75,3.03,61.5,5.22,78.25,4.92,81.25,2.59,65.0,2.12,60.76,16.35,7.15
43,raw/fullpaper/0043-中国法学-2016-3-预防性_反恐刑事立法思考-何荣功-武汉大学法学院.pdf,77.75,5.85,85.75,1.3,55.75,13.48,75.75,3.77,80.5,1.66,78.75,2.59,78.28,15.08,5.52
44,raw/fullpaper/0044-中国法学-2017-2-中华人民共和国民法总则_的制定-张鸣起-十二届全国人民代表大会法律委员会.pdf,30.0,0.0,35.75,11.37,35.0,3.54,46.25,12.44,42.5,4.33,30.0,8.66,36.06,12.02,7.77
45,raw/fullpaper/0045-中国法学-2024-4-刑事诉讼法_再修改之证据制度完善-张保生-中国政法大学证据科学教育部重点实验室、司法文明协同创新中心、重罪检察证据分析研究基地.pdf,56.75,22.23,57.5,11.54,54.0,17.76,84.0,1.22,86.0,1.22,80.75,2.95,67.85,19.88,10.95
46,raw/fullpaper/0046-中国法学-2019-1-大清律例_条标的运用与启示-王立民-华东政法大学.pdf,30.0,0.0,28.75,20.12,40.75,9.18,52.5,7.63,45.0,0.0,40.5,14.94,36.9,14.25,9.98
47,raw/fullpaper/0047-中国法学-2023-3-民法典_背景下劳动法与民法的关系-王全兴-上海财经大学法学院.pdf,75.5,2.29,72.0,4.95,81.0,5.34,86.0,5.24,87.5,2.87,83.0,2.12,83.12,13.97,4.38
48,raw/fullpaper/0048-中国法学-2022-4-民法典_视域下的一般人格权-温世扬-武汉大学法学院.pdf,65.0,17.45,83.25,2.38,74.75,3.27,89.0,1.73,88.0,1.22,78.25,4.09,79.66,13.72,5.8
49,raw/fullpaper/0049-中国法学-2019-3-民法总则_民商合一中国模式之检讨-李建伟-中国政法大学民商经济法学院.pdf,66.75,13.1,84.5,2.29,58.25,15.37,88.0,5.83,85.0,2.12,79.5,3.64,77.43,13.82,8.12
50,raw/fullpaper/0050-中国法学-2023-2-行政处罚法_主观过错条款适用展开-熊樟林-东南大学法学院.pdf,75.0,12.25,81.0,3.08,72.0,14.3,86.0,3.67,85.75,2.86,80.25,2.86,83.47,12.1,7.5
51,raw/fullpaper/0051-中国法学-2018-4-三权分置下农地流转权利体系重构研究-宋志红-中共中央党校(国家行政学院)法学部.pdf,82.0,4.64,89.0,1.0,85.25,4.55,86.75,3.03,84.0,2.0,71.25,4.66,88.34,10.87,3.85
52,raw/fullpaper/0052-中国法学-2016-1-上市公司私有化的监管逻辑与路径选择-李文莉-上海对外经贸大学法学院.pdf,56.25,18.95,77.5,3.57,58.5,11.61,80.5,2.6,79.5,1.66,71.0,1.0,70.35,15.8,7.58
53,raw/fullpaper/0053-中国法学-2022-1-上市公司虚假陈述行政处罚内部责任人认定逻辑之改进-邢会强-中央财经大学法学院.pdf,77.25,3.96,68.75,8.17,89.75,2.86,86.0,1.22,82.25,1.79,78.25,2.49,82.51,11.68,3.95
54,raw/fullpaper/0054-中国法学-2018-1-不动产被征收人参与权的价值定位与制度重构-渠滢-华东政法大学中国法治战略研究中心.pdf,68.5,9.86,72.5,2.87,81.75,5.63,81.0,2.24,82.5,5.55,65.0,6.28,77.72,14.75,6.25
55,raw/fullpaper/0055-中国法学-2024-6-不当联结禁止原则的重述与应用-金成波-中共中央党校(国家行政学院)政治和法律教研部.pdf,72.75,6.68,71.5,15.56,73.25,4.92,73.75,8.32,82.0,3.08,66.25,3.77,75.78,12.78,8.15
56,raw/fullpaper/0056-中国法学-2017-1-不正当竞争行为认定中的实用主义批判-焦海涛-安徽大学法学院.pdf,71.75,15.86,85.0,6.4,78.75,4.66,86.75,2.05,84.25,1.3,76.75,4.92,82.63,15.42,6.78
57,raw/fullpaper/0057-中国法学-2023-5-不确定鉴定意见的证据属性及功能-郭华-中央财经大学法学院.pdf,85.0,2.12,74.0,3.67,65.25,12.03,88.0,3.74,86.5,1.66,75.75,6.87,82.63,12.43,5.77
58,raw/fullpaper/0058-中国法学-2020-4-不阻止他人犯罪的刑事责任-黎宏-清华大学法学院.pdf,73.0,10.7,87.25,3.96,77.25,6.06,86.5,2.6,84.25,1.3,65.25,0.43,83.28,13.22,4.83
59,raw/fullpaper/0059-中国法学-2024-1-世界刑事诉讼的四次革命-冀祥德-中国社会科学院法学研究所.pdf,33.75,4.15,60.0,5.43,61.75,10.03,78.0,7.71,68.5,15.32,64.5,7.63,55.28,15.7,9.68
60,raw/fullpaper/0060-中国法学-2015-4-东京审判与追究侵略之罪责-朱文奇-中国人民大学法学院.pdf,46.5,6.1,43.75,8.93,26.25,10.23,66.75,3.7,72.5,2.87,43.75,13.4,47.04,20.02,8.7
61,raw/fullpaper/0061-中国法学-2021-1-个人信息国家保护义务及展开-王锡锌-教育部人文社会科学重点研究基地北京大学宪法与行政法研究中心.pdf,75.0,6.28,85.25,2.17,72.25,10.64,88.5,0.87,89.0,0.71,75.5,2.6,83.1,10.27,4.48
62,raw/fullpaper/0062-中国法学-2021-1-个人信息处理中的_同意_与_同意撤回-万方-北京外国语大学法学院.pdf,69.5,8.5,77.25,1.3,77.75,10.21,83.75,3.63,83.25,6.61,73.0,5.0,79.13,14.1,6.78
63,raw/fullpaper/0063-中国法学-2022-5-个人信息处理者过错推定责任研究-王道发-中央财经大学法学院.pdf,68.75,19.8,78.5,7.79,67.75,17.95,87.0,4.36,86.5,1.5,60.0,5.83,78.16,17.03,11.0
64,raw/fullpaper/0064-中国法学-2019-4-个人信息权作为民事权利之证成_以知识产权为参照-吕炳斌-南京大学法学院.pdf,70.0,15.64,76.5,3.84,75.75,9.31,80.75,2.59,85.0,0.0,52.25,13.16,77.07,14.85,8.58
65,raw/fullpaper/0065-中国法学-2020-1-个人所得税纳税义务的法律建构-叶姗-北京大学法学院.pdf,41.25,2.17,83.5,5.02,67.5,14.79,74.75,4.97,77.75,6.18,59.5,4.15,63.71,13.85,7.17
66,raw/fullpaper/0066-中国法学-2024-5-个人数据交易的私法制度构造研究-夏庆锋-安徽大学法学院.pdf,65.5,9.66,78.75,7.79,69.75,4.82,77.25,3.96,76.0,8.72,60.5,3.64,75.13,19.6,7.45
67,raw/fullpaper/0067-中国法学-2021-4-个人破产免责的理论基础与规范构建-徐阳光-中国人民大学法学院.pdf,61.25,15.22,83.5,1.5,55.75,12.42,86.5,1.5,86.75,1.3,69.25,2.95,74.46,16.67,6.7
68,raw/fullpaper/0068-中国法学-2024-2-中华法律文化之起源考-魏琼-华东政法大学.pdf,31.25,2.17,56.75,12.62,37.75,2.68,74.75,4.97,67.5,5.32,33.75,4.15,48.63,10.95,6.13
69,raw/fullpaper/0069-中国法学-2021-3-中国_宪法实施_的话语体系与演变脉络-苗连营-郑州大学法学院.pdf,35.0,6.12,80.75,3.27,50.0,2.0,73.0,5.43,78.0,4.95,68.75,2.59,57.35,14.97,4.7
70,raw/fullpaper/0070-中国法学-2017-2-中国与_一带一路_国家税收协定优惠安排与适用争议研究-崔晓静-武汉大学法学院国际法所.pdf,33.75,4.15,40.0,13.69,47.25,3.11,70.5,1.66,71.0,6.96,73.75,2.17,46.25,13.93,6.1
71,raw/fullpaper/0071-中国法学-2022-2-中国人权法学_三大体系_论纲-刘志强-广州大学人权研究院.pdf,33.75,4.15,83.75,4.92,45.75,1.3,74.25,3.77,72.25,7.15,69.0,6.4,57.16,10.32,5.33
72,raw/fullpaper/0072-中国法学-2022-5-中国传统司法中的察狱以情及其现代价值-蒋铁初-杭州师范大学沈钧儒法学院.pdf,79.0,7.97,62.25,32.1,65.0,13.77,84.25,3.96,83.25,1.3,70.5,3.64,76.82,20.77,12.08
73,raw/fullpaper/0073-中国法学-2022-5-中国传统司法如何处置_真伪不明-胡学军-华东政法大学法律学院.pdf,69.0,18.26,81.75,3.77,56.75,4.66,78.25,6.5,85.0,2.12,73.0,2.12,75.01,13.82,7.18
74,raw/fullpaper/0074-中国法学-2021-3-中国传统生态环境法文化及当代价值研究-柴荣-北京师范大学法学院.pdf,30.0,0.0,36.75,12.01,32.75,5.54,56.25,7.4,47.0,4.36,53.75,7.4,38.25,10.77,7.05
75,raw/fullpaper/0075-中国法学-2016-6-中国减刑程序公平性的实证研究-林喜芬-上海交通大学凯原法学院.pdf,62.5,18.99,60.5,7.4,82.0,6.04,80.5,2.6,79.25,2.59,74.75,3.27,72.71,17.68,7.87
76,raw/fullpaper/0076-中国法学-2025-2-中国刑法学自主知识体系的内涵阐释与建构路径-姚建龙-上海社会科学院法学研究所.pdf,31.25,2.17,82.25,6.02,48.25,4.6,78.0,3.74,80.75,5.17,71.25,2.17,57.25,12.55,4.58
77,raw/fullpaper/0077-中国法学-2017-5-中国刑法立法晚近20年之回眸与前瞻-赵秉志-北京师范大学刑事法律科学研究院暨法学院.pdf,30.0,3.54,40.75,15.3,33.75,2.17,75.25,4.09,84.25,7.08,74.25,7.5,43.84,14.95,7.65
78,raw/fullpaper/0078-中国法学-2016-1-中国参与国际气候治理的法律立场和策略_以气候正义为视角-曹明德-中国政法大学民商经济法学院.pdf,32.5,4.33,68.25,8.73,45.75,6.42,77.25,3.96,68.75,5.54,68.0,4.69,53.78,16.73,6.48
79,raw/fullpaper/0079-中国法学-2020-6-中国参与极地全球治理的法治构建-杨华-上海政法学院.pdf,33.75,4.15,53.75,12.44,34.0,12.79,66.5,5.17,63.25,6.61,64.0,5.34,46.21,19.68,8.97
80,raw/fullpaper/0080-中国法学-2016-4-中国反腐败立法的战略转型及其体系化构建-刘艳红-东南大学反腐败法治研究中心.pdf,50.25,12.17,76.75,9.93,70.0,5.48,79.0,1.73,80.0,3.81,74.0,5.34,69.74,15.18,7.42
81,raw/fullpaper/0081-中国法学-2015-3-中国在南海的历史性权利-贾宇-国家海洋局海洋发展战略研究所.pdf,35.0,2.12,49.5,19.58,63.0,17.01,77.5,7.12,87.0,5.39,43.5,8.2,53.35,17.98,11.42
82,raw/fullpaper/0082-中国法学-2015-1-中国基层法院财政制度实证研究-左卫民-四川大学法学院.pdf,43.25,4.92,52.5,8.29,40.5,1.66,85.0,5.2,84.25,3.77,81.25,1.92,54.76,13.12,4.95
83,raw/fullpaper/0083-中国法学-2015-1-中国基本法文化的特征及其当代变迁-陈晓枫-武汉大学法学院.pdf,31.25,2.17,75.0,2.12,39.5,11.1,84.0,3.67,80.75,3.27,54.5,17.98,55.41,17.17,7.75
84,raw/fullpaper/0084-中国法学-2015-4-中国大众平等观念评析-张永和-.pdf,31.25,5.45,37.0,2.12,35.0,0.0,67.0,12.12,53.25,11.14,50.75,12.99,41.68,19.48,8.43
85,raw/fullpaper/0085-中国法学-2019-2-中国宪法上_社会主义市场经济_的规范结构-韩大元-中国人民大学法学院.pdf,46.25,7.4,52.75,30.59,47.0,2.12,78.5,2.18,79.75,4.82,71.0,3.67,55.5,15.62,9.75
86,raw/fullpaper/0086-中国法学-2018-4-中国宪法的环境观及其规范表达-张震-西南政法大学.pdf,31.25,2.17,65.75,9.55,59.25,6.22,77.0,3.0,75.75,4.26,69.5,4.5,55.07,14.78,5.72
87,raw/fullpaper/0087-中国法学-2018-3-中国式影子银行的风险溯源与监管创新-郭雳-北京大学法学院.pdf,66.5,11.06,71.0,5.34,71.5,5.22,83.0,3.39,85.5,2.87,73.75,3.77,75.32,15.88,6.08
88,raw/fullpaper/0088-中国法学-2025-1-中国式现代化之党规回应-宋功德-中共中央办公厅法规局.pdf,30.0,0.0,25.0,3.54,40.0,0.0,65.0,11.6,50.75,14.1,63.75,17.46,38.82,15.73,9.0
89,raw/fullpaper/0089-中国法学-2025-1-中国式现代化背景下社会法体系的完善-林嘉-中国人民大学法学院.pdf,33.75,2.17,62.5,9.1,40.0,6.12,62.5,4.33,51.25,6.5,58.25,5.63,48.38,15.38,6.52
90,raw/fullpaper/0090-中国法学-2024-4-中国式现代化视域下民事诉权的反思与重塑-任重-清华大学法学院.pdf,69.75,5.76,82.75,5.07,82.5,6.1,88.5,2.29,68.25,15.2,73.0,5.39,75.0,15.2,7.67
91,raw/fullpaper/0091-中国法学-2020-3-中国律例统编的传统与现代民法体系中的指导性案例-张生-中国社会科学院法学研究所.pdf,46.75,17.8,71.25,13.1,63.25,4.92,80.75,2.95,85.75,1.3,81.0,2.35,63.43,16.32,8.15
92,raw/fullpaper/0092-中国法学-2022-4-中国最高审判体制的刑民分立——传统与现代化-聂鑫-清华大学法学院.pdf,35.0,6.12,55.5,32.26,43.75,2.17,77.25,1.92,81.5,3.5,76.75,1.3,51.31,14.22,9.1
93,raw/fullpaper/0093-中国法学-2022-2-中国比较宪法学的重新定位与方法论重构-刘晗-清华大学法学院.pdf,78.0,3.74,88.75,2.17,58.75,5.63,86.25,3.63,84.5,1.5,80.25,2.86,84.07,13.28,3.75
94,raw/fullpaper/0094-中国法学-2015-4-中国民法典编纂_观念、愿景与思路-薛军-北京大学法学院.pdf,63.5,16.5,72.0,20.36,75.0,6.28,82.75,5.07,85.75,1.3,71.0,3.67,75.06,19.02,10.25
95,raw/fullpaper/0095-中国法学-2018-5-中国民法学的效率意识-熊丙万-中国人民大学民商事法律科学研究中心.pdf,61.75,18.42,82.0,6.96,53.25,15.94,88.75,2.59,82.25,1.79,70.75,2.59,74.37,19.18,9.3
96,raw/fullpaper/0096-中国法学-2015-2-中国法史及法史学研究反思——兼论学术研究的规律-马小红-中国人民大学法学院.pdf,39.25,5.63,61.75,10.08,33.75,2.17,73.75,1.79,61.0,15.28,37.0,22.01,51.69,19.7,10.95
97,raw/fullpaper/0097-中国法学-2019-6-中国法域外适用法律体系_现状、问题与完善-廖诗评-北京师范大学法学院.pdf,37.5,4.33,52.5,16.39,50.75,13.1,77.25,1.92,84.5,2.96,77.75,1.79,52.72,15.93,7.78
98,raw/fullpaper/0098-中国法学-2018-5-中国法治主体性的文化向度-李拥军-吉林大学法学院.pdf,32.0,3.46,27.5,16.77,35.75,1.3,64.0,4.24,67.5,14.59,58.25,6.65,39.13,19.28,9.05
99,raw/fullpaper/0099-中国法学-2022-6-中国法院_案多人少_的实证评估与应对策略-程金华-上海交通大学凯原法学院.pdf,40.0,9.35,73.75,9.65,68.5,7.89,87.5,3.57,84.0,3.67,80.0,1.41,64.15,14.03,6.82
100,raw/fullpaper/0100-中国法学-2022-6-中国特色刑法域外适用规则的问题与完善-蒋娜-北京师范大学刑事法律科学研究院.pdf,36.25,6.5,68.0,5.87,46.25,18.16,84.0,7.97,75.75,1.3,75.25,3.27,56.72,17.95,8.3
101,raw/fullpaper/0101-中国法学-2024-3-中国特色反腐败制度框架下贿赂犯罪法益的确定-陈金林-武汉大学法学院.pdf,88.25,2.05,87.25,1.92,86.0,1.22,92.25,1.79,88.5,0.5,75.75,2.49,91.56,9.65,1.93
102,raw/fullpaper/0102-中国法学-2015-5-中国特色社会主义法治体系的理论基础、指导思想和基本构成-李龙-武汉大学法学院.pdf,30.0,0.0,12.5,7.5,30.75,2.59,40.0,3.54,30.75,9.18,32.5,2.5,28.37,17.73,4.88
103,raw/fullpaper/0103-中国法学-2015-5-中国特色社会主义法治道路的时代进程-公丕祥-南京师范大学法学院.pdf,30.0,0.0,7.5,7.5,36.25,6.5,40.0,7.91,41.25,4.15,35.75,8.9,28.16,9.49,6.73
104,raw/fullpaper/0104-中国法学-2023-5-中国环境司法的能动协同现象与形成发展逻辑-张忠民-中南财经政法大学法学院.pdf,37.5,10.9,69.5,7.3,49.25,5.63,81.75,2.49,71.5,9.6,60.5,12.97,57.51,12.67,9.42
105,raw/fullpaper/0105-中国法学-2022-5-中国知识产权制度现代化的实践与发展-吴汉东-中南财经政法大学知识产权研究中心.pdf,30.0,0.0,49.5,11.32,36.25,2.17,70.5,3.64,62.25,4.38,83.25,4.92,45.22,12.37,5.1
106,raw/fullpaper/0106-中国法学-2016-2-中国语境下的_宪法实施_一项概念史的考察-翟国强-中国社会科学院法学研究所.pdf,63.75,13.4,76.75,3.03,40.75,2.59,79.25,5.85,74.0,7.48,64.0,4.0,66.4,16.23,7.0
107,raw/fullpaper/0107-中国法学-2022-6-中国语境下的_检察权_概念考察-王海军-华东政法大学法律史研究中心.pdf,36.25,5.45,69.5,6.18,40.75,7.36,76.75,9.93,79.0,1.73,31.25,9.6,54.4,13.32,7.75
108,raw/fullpaper/0108-中国法学-2015-1-主任检察官制度研究-最高人民检察院2013年重点课题组-复旦大学法学院.pdf,30.0,0.0,43.75,7.4,65.75,5.12,72.75,1.92,61.75,8.01,73.0,4.12,49.6,16.65,5.12
109,raw/fullpaper/0109-中国法学-2023-6-主权原则在中国宪法中的展开-王理万-中国政法大学人权研究院.pdf,43.75,8.93,69.5,1.66,59.25,15.94,81.0,4.95,73.5,15.17,60.75,3.77,61.31,15.05,9.68
110,raw/fullpaper/0110-中国法学-2025-1-主渠道目标导向下行政复议与行政诉讼衔接关系研究-曹鎏-中国政法大学法治政府研究院.pdf,61.75,19.52,83.25,1.3,63.5,15.64,82.0,4.06,82.5,4.56,80.0,3.81,76.88,15.43,9.42
