paper_id,paper,对象归属度,材料归属度,范畴自主度,解释目标归属度,体系映射度,五轴总分,强度,一致性,需复核,R2模式
61,7100212663_王启梁_2019_学术月刊_法治的社会基础——兼对“本土资源论”的新阐释.md,2,2,2,2,2,10,strong,high,False,skip
62,7101006210_薛军_2019_学术月刊_中国法上的行为能力宣告 制度内涵与解释论重塑.md,2,2,2,2,2,10,strong,high,False,light
63,7101182876_陈景良和王小康_2020_学术月刊_宋代司法中的事实认知与法律推理.md,2,2,2,2,2,10,strong,high,False,skip
64,7101182877_侯猛_2020_学术月刊_新中国政法话语的流变.md,2,2,2,2,2,10,strong,high,False,skip
65,7101182958_雷磊_2020_学术月刊_立法的特性——从阶层构造论到原则权衡理论.md,0,0,0,0,1,1,absent,medium,False,full
66,7101182959_汪雄_2020_学术月刊_寻找失落的“精神”——从《刑法》第20条第3款的适用范围反思刑法的立法价值.md,2,2,1,2,2,9,strong,medium,False,full
67,7101492303_吴义龙_2020_学术月刊_集体经营性建设用地入市的现实困境与理论误区——以“同地同权”切入.md,2,2,2,2,2,10,strong,high,False,skip
68,7101497695_苏力_2020_学术月刊_历史中国的分配正义 实践与思想.md,2,2,2,2,2,10,strong,high,False,skip
69,7101497703_苏力和于明_2020_学术月刊_基于中国经验的学术创造——苏力教授访谈.md,2,2,2,2,2,10,strong,high,False,skip
70,7102038023_陈柏峰_2020_学术月刊_面向水利供给的农地制度模式选择.md,2,2,2,2,2,10,strong,high,False,skip
71,7102601812_郑少华和王慧_2020_学术月刊_环境法的定位及其法典化.md,1,0,0,1,1,3,weak,medium,False,full
72,7102601813_魏磊杰_2020_学术月刊_我国国际法研究的主体性缺失问题 反思与祛魅.md,2,2,1,2,2,9,strong,medium,False,full
73,7102601814_李勤通_2020_学术月刊_法律儒家化及其解释力.md,2,2,2,2,2,10,strong,high,False,light
74,7102609322_黄宗智_2020_学术月刊_中国的新综合性视野和远瞻性愿景 “一带一路”倡议与亚投行.md,0,0,0,0,0,0,absent,medium,False,full
75,7102609323_章永乐_2020_学术月刊_“门罗主义”话语的跨洋旅行——亚洲主义、省域空间与“旧邦新造”进程.md,2,2,2,2,2,10,strong,high,False,full
76,7103036692_尤陈俊_2020_学术月刊_法治建设的国家能力基础 从国族认同建构能力切入.md,2,2,2,2,2,10,strong,high,False,light
77,7103036693_赖骏楠_2020_学术月刊_清代四川州县的契税治理 以南部县契税诉讼为侧重点.md,2,2,1,2,2,9,strong,medium,False,full
78,7103609281_周尚君_2020_学术月刊_中国立法体制的组织生成与制度逻辑.md,2,2,2,2,2,10,strong,high,False,skip
79,7103609282_汪洋_2020_学术月刊_民法典无因管理的内外体系与规范呈现.md,2,2,1,2,2,9,strong,medium,False,full
80,88838975504849574850484948_胡凌_2019_学术月刊_从开放资源到基础服务 平台监管的新视角.md,2,2,2,2,2,10,strong,high,False,full
81,88838975504849574850484949_戴昕_2019_学术月刊_重新发现社会规范 中国网络法的经济社会学视角.md,2,2,0,2,2,8,strong,medium,False,full
82,88838975504849574852484949_刘艳红_2019_学术月刊_以科学立法促进刑法话语体系发展.md,2,2,2,2,2,10,strong,high,False,light
83,XSYK2021001009_何志鹏和申天娇_2021_学术月刊_国际软法在全球治理中的效力探究.md,0,0,0,0,0,0,absent,high,False,full
84,XSYK2021003010_侯猛_2021_学术月刊_法律的经验研究范式 以规范研究为参照.md,2,2,1,2,2,9,strong,medium,False,full
85,XSYK2021003012_程金华_2021_学术月刊_事实的法律规范化——从农业社会到信息革命.md,0,0,0,0,2,2,weak,medium,False,full
86,XSYK2021003018_周东平和薛夷风_2021_学术月刊_北朝胡汉融合视域下中古 五刑 刑罚体系形成史新论——兼评冨谷至《汉唐法制史研究》.md,2,2,2,2,2,10,strong,high,False,skip
87,XSYK2021004008_曹海和军梁赛_2021_学术月刊_理解 中国之治 的密钥 协同优势 与 优势协同.md,1,1,0,0,0,2,weak,high,False,full
88,XSYK2021004010_戴昕_2021_学术月刊_看破不说破 一种基础隐私规范.md,1,1,1,1,2,6,medium,medium,False,full
89,XSYK2021004011_谢晶_2021_学术月刊_律贵诛心 清代盗律及实践中的 主观恶性.md,2,2,2,2,2,10,strong,high,False,skip
90,XSYK2021005010_郭亮_2021_学术月刊_家国关系 理解近代以来中国基层治理变迁的一个视角.md,2,2,2,2,2,10,strong,high,False,skip
91,XSYK2021006011_刘忠_2021_学术月刊_革命的保卫者 — 大公安 格局发生的历史缘起.md,2,2,2,2,2,10,strong,high,False,light
92,XSYK2021006012_陈洪杰_2021_学术月刊_司法公正的象征建构 在认知与规范之间.md,2,2,1,2,2,9,strong,high,False,full
93,XSYK2021007002_沈国明_2021_学术月刊_重大改革于法有据 习近平法治思想的重要论断.md,2,2,1,2,2,9,strong,high,False,full
94,XSYK2021008009_杨东和李子硕_2021_学术月刊_监管技术巨头 技术力量作为市场支配地位认定因素之再审视.md,2,2,2,2,2,10,strong,high,False,full
95,XSYK2021008010_吴文芳和刘洁_2021_学术月刊_新技术变革时代 人 的变迁与社会法回应.md,2,1,1,2,2,8,strong,medium,False,full
96,XSYK2021009011_李晟_2021_学术月刊_社会与历史语境中的法律修辞 共同体建构视角下的宏观功能.md,0,0,0,0,0,0,absent,high,False,full
97,XSYK2021010010_朱林方_2021_学术月刊_中国共产党党章的百年变迁——主题与变奏.md,2,2,2,2,2,10,strong,high,False,skip
98,XSYK2021011010_武飞_2021_学术月刊_论经验法则在刑事司法裁判中的论证.md,2,2,1,2,2,9,strong,high,False,light
99,XSYK2022001011_霍政欣和陈锐达_2022_学术月刊_文化主权视域下流失文物追索的法理思考——基于石窟寺流失文物的分析.md,2,2,2,2,2,10,strong,high,False,light
100,XSYK2022002009_阎天_2022_学术月刊_中国劳动法学的宪法观 成形、嬗变与展望.md,2,2,1,2,2,9,strong,medium,False,full
101,XSYK2022004010_石冠彬_2022_学术月刊_民法典精神损害赔偿制度的规范构造与价值定位.md,2,2,1,2,1,8,strong,high,False,full
102,XSYK2022005009_黄锫_2022_学术月刊_行政执法中声誉制裁的法律性质与规范形态.md,2,2,2,2,2,10,strong,high,False,skip
103,XSYK2022005010_程雪阳_2022_学术月刊_从家国到人民共和国 天下-中国 转型的历史逻辑.md,2,2,2,2,2,10,strong,high,False,skip
104,XSYK2022006012_何志鹏_2022_学术月刊_国际法治中的“大国不可能三角”.md,1,1,0,1,1,4,weak,medium,False,full
105,XSYK2022006013_魏磊杰_2022_学术月刊_新时代中国国际法观的理论构成与多元实践.md,2,2,2,2,2,10,strong,high,False,full
106,XSYK2022006020_何志鹏和宋瑞琛_2022_学术月刊_国际法的四重意象与中国国际法建设——何志鹏教授访谈.md,2,1,1,2,2,8,strong,medium,False,full
107,XSYK2022007010_郭亮_2022_学术月刊_法律之外的秩序：土地的“习惯性利益”及其治理——基于两个社区的讨论.md,2,2,2,2,2,10,strong,high,False,skip
108,XSYK2022007011_房慧颖_2022_学术月刊_刑法谦抑性原则的价值定位与规范化构造——以刑民关系为切入点.md,2,2,1,2,2,9,strong,medium,False,full
109,XSYK2022009009_沈国明_2022_学术月刊_中国社会主义法治文化的历史回溯和进路.md,2,2,2,2,2,10,strong,high,False,light
110,XSYK2023001010_杜文俊和陈超_2023_学术月刊_引入与调适：自然惩罚免刑规则的本土化建构.md,2,1,1,2,2,8,strong,medium,False,full
111,XSYK2023002008_赖骏楠和景风华_2023_学术月刊_法律儒家化未曾发生？——以家庭法制为中心.md,2,2,2,2,2,10,strong,high,False,skip
112,XSYK2023003009_章永乐_2023_学术月刊_“大国协调”的重负与近代中国的“旧邦新造”.md,2,2,2,2,2,10,strong,high,False,full
113,XSYK2023004017_宋亚辉等_2023_学术月刊_法学学科十年发展综述及评价（2009-2018年）——基于人文社科综合指数的分析.md,2,2,1,2,2,9,strong,high,False,light
114,XSYK2023006016_李俊强_2023_学术月刊_唐前律典的历史书写与谱系制造.md,2,2,2,2,2,10,strong,high,False,full
115,XSYK2023007009_张伟和吕铖钢_2023_学术月刊_从不完整财产权到完整财产权的诠释：在归属和流转之间.md,1,1,0,1,0,3,weak,medium,False,full
116,XSYK2023008007_孙万怀_2023_学术月刊_一种“甜蜜的错觉”：自由意志是刑事责任的基础.md,2,2,2,2,2,10,strong,high,False,full
117,XSYK2023008012_刘安迪和周东平_2023_学术月刊_宋代流人量移考.md,2,2,2,2,2,10,strong,high,False,full
118,XSYK2023010009_谢晶_2023_学术月刊_清律“财产犯罪”体系的比较法阐释.md,2,2,2,2,2,10,strong,high,False,skip
119,XSYK2023011009_陶南颖_2023_学术月刊_中国涉外法治研究主体性建构的悖论及其超越.md,2,2,1,2,2,9,strong,high,False,full
120,XSYK2024001010_熊丙万和何娟_2024_学术月刊_论数据要素市场的基础制度体系.md,2,2,2,2,2,10,strong,high,False,light
121,XSYK2024002010_吴思远_2024_学术月刊_从“权力主导”到“权利本位”：刑事在线诉讼的法治悖反与归位.md,2,2,1,2,2,9,strong,high,False,light
122,XSYK2024003009_翟翌和金龙君_2024_学术月刊_比例原则目的正当性审查方法新论——一个融合法经济学、商谈理论的视角.md,2,0,0,2,1,5,medium,medium,False,full
123,XSYK2024004002_徐宏_2024_学术月刊_问题与愿景：中国刑法学转型发展的省思.md,2,2,2,2,2,10,strong,high,False,full
124,XSYK2024004012_崔永东_2024_学术月刊_社会治理及其对企业合规治理的切入和渗透.md,2,2,2,2,2,10,strong,high,False,full
125,XSYK2024005011_沈伟和苏可桢_2024_学术月刊_新型反补贴规则是优化还是异化——基于保护市场经济的视角.md,1,0,0,1,1,3,weak,high,False,full
126,XSYK2024005012_房慧颖_2024_学术月刊_数字资产属性的界定及其证成.md,2,2,1,2,2,9,strong,high,False,skip
127,XSYK2024006012_李汉松_2024_学术月刊_哲人入丛林：国际关系与政治哲学共同转型的可能.md,0,0,0,0,0,0,absent,high,False,skip
128,XSYK2024008009_廖奕_2024_学术月刊_老年权利话语的法律知识生成.md,2,2,2,2,2,10,strong,high,False,light
129,XSYK2024009002_田继江_2024_学术月刊_集体心灵的物理还原性问题.md,0,0,0,0,0,0,absent,high,False,skip
130,XSYK2024010009_郑今轶_2024_学术月刊_超越对立：英美契约理论下的身份观.md,0,0,0,0,0,0,absent,high,False,full
131,XSYK2024011009_张翅翔和雷磊_2024_学术月刊_法学学术批评的两种形态及其意义.md,2,1,0,2,1,6,medium,high,False,full
132,XSYK2024012008_郭春镇和勇琪_2024_学术月刊_从嵌入到融合：技术治理与法律治理的关系及其优化.md,1,1,0,1,2,5,medium,medium,False,full
133,XSYK2025001010_石磊和程金华_2025_学术月刊_超越“东西”之分：中国司法需求的空间演变与类型化.md,2,2,1,2,1,8,strong,medium,False,full
134,XSYK2025001011_于龙刚_2025_学术月刊_社会知识在司法中的运用及其优化.md,2,2,2,2,2,10,strong,high,False,skip
135,XSYK2025002009_吴文芳和王瑞宏_2025_学术月刊_作为用户的平台劳动者：保护机制及其构建.md,2,1,0,2,1,6,medium,medium,False,full
136,XSYK2025003009_季卫东和赵泽睿_2025_学术月刊_法律如何实现动态治理——人工智能不确定性的立法应对.md,2,1,1,2,1,7,medium,medium,False,full
137,XSYK2025003010_陶南颖_2025_学术月刊_再论中国国际法知识体系的早期生成——对《万国公法》的溯源考察.md,2,2,2,2,2,10,strong,high,False,skip
138,XSYK2025004009_罗维鹏_2025_学术月刊_证据分析的叙事方法及其运用.md,2,2,1,2,2,9,strong,high,False,full
139,XSYK2025005009_何松威_2025_学术月刊_领域法学的理论反思与证成.md,2,2,2,2,2,10,strong,high,False,skip
140,XSYK2025005010_孙道萃_2025_学术月刊_论“协商式” 刑事责任.md,2,2,2,2,2,10,strong,high,False,skip
141,XSYK2025006009_万勇和李亚兰_2025_学术月刊_论著作权法中作品独创性的判断方法.md,2,2,2,2,2,10,strong,high,False,full
142,XSYK2025007002_周东平和刘安迪_2025_学术月刊_论中华条标传统的话语构建与创造性转化.md,2,2,2,2,2,10,strong,high,False,skip
143,XSYK2025007008_黄伟等_2025_学术月刊_平等与效率的兼顾——《慈善法》的激励与分配效应.md,2,2,1,2,1,8,strong,high,False,full
144,XSYK2025007011_张途_2025_学术月刊_为何法治概念应包含“基本正义要求”.md,0,0,0,0,0,0,absent,high,False,full
145,XSYK2025008008_马洪和赖德斌_2025_学术月刊_应对气候变化的生态环境法典化表达.md,2,2,2,2,2,10,strong,high,False,light
146,XSYK2025009010_叶会成_2025_学术月刊_比例原则的基本观念及其普遍化.md,0,0,0,0,0,0,absent,medium,False,full
147,XSYK2025010009_陈婉玲_2025_学术月刊_区域权利谱系及其构造论——区域经济法本体论的视域.md,2,1,2,2,2,9,strong,medium,False,full
148,XSYK2025010010_沈伟和陈徐安黎_2025_学术月刊_人工智能国际法与国内法的双向互动.md,2,1,0,1,2,6,medium,medium,False,full
149,XSYK2025011008_彭诚信和李东宇_2025_学术月刊_人格权法自主知识创新的理论基础与制度表达.md,2,2,2,2,2,10,strong,high,False,skip
