专家清单序号,论文编号,期刊,年份,期,题目,作者,作者机构,专家审阅学科,AI辅助内容评价分,AI辅助内容评价分区间,分歧值（以标准差衡量）,分歧区间,候选来源,主要对应学科,次要对应学科,标识性概念对应,原创性理论对应,框架结构对应,对应条目总数,匹配方法统计,备注
21,1493,法学研究,2021,5,抽逃出资规则及公司分配制度的系统性改造,王军,中国政法大学,民商法学,87.5,85-88分,7.03,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,民商法学,法理学,法律规则[法理学]（证据：抽逃出资规则不宜作为裁判规则适用）；法律责任[法理学]（证据：有过错的董事承担连带赔偿责任）,,,2,"关键词:4, 语义:0, 双重:0, AI核验:2",置信度:high；论文属民商法实体研究，但核心论证深度契合法理学标识性概念。刑诉与民诉“内在逻辑”条目与本文实体法论证无实质关联，故不予匹配。
22,1168,法学研究,2022,5,为被告人利益抗诉与上诉不加刑原则之适用———以上诉理由之限制为中心,郭烁,中国政法大学诉讼法学研究院,诉讼法学,87.4,85-88分,4.85,低分歧（分歧值≤5）,经过候选复评,刑事诉讼法学,,刑事诉讼法 [keyword][刑事诉讼法学]（证据：“2018年刑事诉讼法第237条第2款”）；犯罪嫌疑人、被告人 [keyword][刑事诉讼法学]（证据：“为被告人利益抗诉”“被追诉人合理预期”）,,,2,"关键词:2, 语义:12, 双重:0, AI核验:2",置信度:high；论文核心聚焦“上诉不加刑原则”与“上诉理由”之程序法理，候选库中仅两项标识性概念在核心论证中实质对应；“认罪认罚从宽”仅于脚注案情背景提及，非论证核心，故不纳入。
23,0820,中国法学,2022,5,论法律解释目标的逐案决定,陈坤,南京大学法学院,法学理论,87.375,85-88分,4.14,低分歧（分歧值≤5）,经过候选复评与重点复核,法理学,,,,框架结构：运行论（立法论、实施论、解释论）[法律史学]（证据：法律解释目标问题上长期存在主观解释论与客观解释论之争。）,1,"关键词:1, 语义:5, 双重:1, AI核验:1",置信度:medium；本文系典型法学方法论研究，核心聚焦法律解释目标。候选条目中仅“运行论（含解释论）”在结构上实质涵盖解释理论；其余条目（如本体论、数字方法论等）与本文论证无直接关联。知识库将解释论归入法律史学或为特定分类逻辑，此处依实质内容对应。
24,0882,中国法学,2023,2,过失犯远因溯责的规制路径：以渎职犯罪为中心,陈璇,中国人民大学刑事法律科学研究中心,刑法学,87.325,85-88分,7.06,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,刑法学,,免予刑事处罚与非刑罚处罚措施[刑法学]（证据：对行为人免除处罚……充分发挥政务处分、行政处罚等措施）,主、从二分的共同犯罪理论[刑法学]（证据：应当以限制正犯概念为基点……成立过失间接正犯/过失不作为正犯）,刑事制裁论（刑事责任、刑罚及其种类、刑罚制度）[刑法学]（证据：是否需要动用刑罚不仅是犯罪判断的结论……制约犯罪认定全过程）,3,"关键词:2, 语义:12, 双重:0, AI核验:3",置信度:high；论文核心聚焦刑法教义学中的过失归责与正犯理论，虽提及行政处罚，但仅作为刑事制裁的替代分流手段，未构成行政法学核心论证，故仅列刑法学。
25,0946,中国社会科学,2021,4,"从""权能分离""到""权利行使""",蔡立东,"吉林大学、司法数据应用研究中心,长春130012",民商法学,87.25,85-88分,3.33,低分歧（分歧值≤5）,经过候选复评与重点复核,民法学,,,契合土地公有制的原创性物权理论[民法学]（证据：以坚持社会主义公有制为前提，建构中国特色社会主义物权法理论）,第二：物权理论[民法学]（证据：用益物权的生成机制关涉物权制度的架构和容量）,2,"关键词:3, 语义:12, 双重:1, AI核验:2",置信度:high；论文聚焦民法典背景下用益物权生成机制的理论重构，核心论证完全契合民法学物权理论板块，特别是针对中国土地公有制背景的原创性物权理论探索。
26,0619,中国法学,2022,1,符合法律的宪法解释与宪法发展,杜强强,首都师范大学政法学院,宪法学与行政法学,87.225,85-88分,3.42,低分歧（分歧值≤5）,经过候选复评与重点复核,宪法学,,合宪性审查[宪法学]（证据：合宪性审查开始从理论走向实践……属于回避违宪判断的方法之一）,,第六：宪法实施论[宪法学]（证据：围绕《宪法》第40条立法实践，展现合法宪法解释方法的内在结构）,2,"关键词:6, 语义:14, 双重:0, AI核验:2",置信度:high；论文核心聚焦宪法解释方法论与合宪性审查技术，虽提及立法发展等概念，但均服务于宪法解释论证，故仅对应宪法学核心条目。
27,1519,法学研究,2023,3,整体法秩序视野下被害人自陷风险的理论重塑,陈璇,中国人民大学刑事法律科学研究中心,法学理论,87.2,85-88分,4.92,低分歧（分歧值≤5）,经过候选复评与重点复核,刑法学,法理学,"共同犯罪[刑法学]（证据：几乎完全仿照共同犯罪的学理逻辑）；法律责任[法理学]（证据：分析框架, 由法律性质和法律责任两个层面构成）",刑事责任理论[刑法学]（证据：降低甚至排除行为人行为的刑事可罚性）,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：拘泥于被害人自陷风险在界分罪与非罪方面的功能）,4,"关键词:3, 语义:10, 双重:3, AI核验:4",置信度:high；论文虽涉及民法自甘风险规则，但候选库中民法学条目（侵权责任独立成编）与本文核心论证无实质关联，故未列入。本文以刑法教义学批判与重构为主轴，辅以法理学整体法秩序与责任分层视角，故刑法学为主、法理学为辅。
28,1602,法学研究,2021,4,法律解释与法律续造的区分标准,陈坤,南京大学法学院,法学理论,87.15,85-88分,3.65,低分歧（分歧值≤5）,经过候选复评与重点复核,法理学,法律史学,法律规则[法理学]（证据：法官经常需要突破法律规则的文义边界进行裁判）,,运行论（立法论、实施论、解释论）[法律史学]（证据：本文试图说明……法律解释与法律续造的区分为什么是重要的）,2,"关键词:7, 语义:5, 双重:0, AI核验:2",置信度:high；论文属典型法学方法论研究，核心对应法理学。文中“正当防卫”仅为举例说明法律概念特殊性，非核心论证对象，故不纳入刑法学条目。
29,1553,法学研究,2024,6,正当防卫中的退避义务,江溯,北京大学法学院,刑法学,87.1,85-88分,3.15,低分歧（分歧值≤5）,经过候选复评,刑法学,,正当防卫 [keyword][刑法学]（证据：正当防卫中的退避义务...正当防卫的成立既不受法益均衡要求）,,,1,"关键词:3, 语义:6, 双重:0, AI核验:1",置信度:high；论文为典型刑法教义学研究，聚焦正当防卫制度，未实质涉及候选列表中的诉讼法、人权法等其他学科条目。
30,1575,法学研究,2024,4,民法典的精神损害赔偿体系——以功能主义为视角,洪国盛,北京大学国际法学院,民商法学,87.05,85-88分,5.54,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,民法学,,,人格权在民法典中独立成编[民法学]（证据：实现人格权编强化合同关系下人格权保护的要求）；侵权责任在民法典中独立成编[民法学]（证据：精细化地服务于侵权编衡平行为自由与权益保护的整体目标）,,2,"关键词:2, 语义:5, 双重:0, AI核验:2",置信度:high；论文核心围绕民法典合同编、人格权编与侵权责任编的体系互动展开，直接印证了人格权与侵权责任独立成编的原创性理论价值。未涉及民商合一、国际法或刑诉法等内容。
31,0317,中国法学,2021,4,基本原则与概括条款的区分:我国诚实信用与公序良俗的解释论构造,于飞,中国政法大学民商经济法学院,法学理论,87,85-88分,2.93,低分歧（分歧值≤5）,经过候选复评与重点复核,民法学,法理学；法律史学,法律原则[法理学]（证据：《民法典》第7、8条是诚实信用原则与公序良俗原则）；法律规则[法理学]（证据：概括条款是一种特殊的规则，是裁判依据）,,第一：民法总则与基本原理[民法学]（证据：《民法典》第7条诚信原则、第8条公序良俗原则与之后条款关系）；运行论（立法论、实施论、解释论）[法律史学]（证据：特色立法呼唤与之相适应的解释论）,4,"关键词:7, 语义:8, 双重:2, AI核验:4",置信度:high；论文虽标注审阅学科为法学理论，但实质内容深度嵌入民法教义学体系，以民法典总则基本原则与概括条款的区分及解释论构造为核心，故主学科定为民法学。法理学与法律史学条目因涉及原则/规则法理区分及解释论方法论，列为次要对应。
32,1390,法学研究,2021,5,基于决定关系的证据客观性:概念、功能与理论定位,徐舒浩,中国人民大学法学院,诉讼法学,86.85,85-88分,3.85,低分歧（分歧值≤5）,经过候选复评与重点复核,刑事诉讼法学,法理学,标识性概念：刑事诉讼法 [keyword]；犯罪嫌疑人、被告人 [keyword][刑事诉讼法学]（证据：《最高人民法院关于适用〈中华人民共和国刑事诉讼法〉的解释》）,,框架结构：第一部分：本体论（法的存在及其本质） [keyword][法理学]（证据：主张一将证据客观性解释为证据存在上的客观性(本体论客观性)）,2,"关键词:6, 语义:1, 双重:0, AI核验:2",置信度:medium；论文实质属于诉讼法学下的证据法学分支。候选条目中“刑事诉讼法学”为其主要学科归属；“法理学”本体论框架因论文对证据存在论与认识论的哲学辨析而构成次要对应。条目中的具体关键词（如犯罪嫌疑人）非本文核心，但刑诉法规范与本体论分析结构在论证中具实质支撑作用。
33,0489,中国法学,2017,5,比例原则的普遍化与基本权利的性质,陈景辉,中国政法大学,宪法学与行政法学,86.325,85-88分,6.56,中等分歧（5<分歧值≤8）,经过候选复评,宪法学,,,,第四：基本权利论[宪法学]（证据：比例原则的普遍化，寄生于“正当限制基本权利”这个观念的普遍化）,1,"关键词:1, 语义:1, 双重:0, AI核验:1",置信度:high；论文虽在脚注提及国际法，但仅为背景说明，未作实质论证；全文核心议题完全归属于宪法学基本权利与比例原则的规范理论。
34,1864,法学研究,2025,6,生态环境法典的复合结构及其体系化适用,陈海嵩,武汉大学环境法研究所,环境与资源保护法学,86.175,85-88分,2.8,低分歧（分歧值≤5）,经过候选复评,生态环境法学,法理学；立法学,生态环境法典[生态环境法学]（证据：题目及关键词明确指向“生态环境法典”）；法律体系[法理学]（证据：在法秩序内解决制度、规则不一致问题）,生态环境法法典化理论[生态环境法学]（证据：“适度法典化”定位下的“法典+单行法”模式）；生态环保体系化理论[生态环境法学]（证据：形成体系化视角下的规范解决方案）；立法格局理论[立法学]（证据：“法典+单行法”的“双法源”模式）,回应法典焦点议题，实现生态环境法制度规则的精准供给与知识创新[生态环境法学]（证据：明确处理“双法源”争议问题的评价标准）；第四部分：运行论（法的制定到实施）[法理学]（证据：对法律适用形成规范指引）,7,"关键词:7, 语义:19, 双重:3, AI核验:7",置信度:high；论文以生态环境法典编纂与适用为核心，高度契合生态环境法学的主干条目；同时大量运用法理学体系解释方法与立法学法源格局分析，故将法理学、立法学列为次要对应学科。
35,0021,中国法学,2023,6,“审执分离”本质与路径的再认识,张卫平,烟台大学,诉讼法学,86.125,85-88分,5.19,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,民事诉讼法学,,,审执分离[民事诉讼法学]（证据：“审执分离”的核心在于审判权与执行权行使对象的区分）,,1,"关键词:2, 语义:5, 双重:2, AI核验:1",置信度:high；论文系诉讼法学领域成果，核心论证完全围绕民事执行体制改革中的“审执分离”展开，深入辨析审判权与执行权的本质差异及“内分”路径的偏离，无其他候选学科实质对应。
36,0683,中国法学,2016,3,行政法上的不确定法律概念,王天华,中国政法大学,宪法学与行政法学,86.075,85-88分,7.59,中等分歧（5<分歧值≤8）,经过候选复评,行政法学,法理学,行政裁量基准[行政法学]（证据：“补充判断基准是其题中应有之义”）；行政诉讼[行政法学]（证据：“法院能否以及应当如何展开司法审查”）,,第一部分：本体论（法的存在及其本质）[法理学]（证据：“唯一正确答案预设是一个不能证成的本体论虚构”）；第三部分：价值论（法的价值与评价）[法理学]（证据：“追加价值判断……确认价值位序”）,4,"关键词:5, 语义:6, 双重:1, AI核验:4",置信度:high；论文以行政法教义学问题为切入点，但核心论证深度依赖法理学（语言哲学、道德哲学）的分析工具，故行政法学为主，法理学为次。其他候选学科无实质关联。
37,1448,法学研究,2022,6,履行行政职责的作为可能性,林鸿潮,中国政法大学法治政府研究院,宪法学与行政法学,86.05,85-88分,5.83,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,行政法学,法理学,行政诉讼[行政法学]（证据：法院在行政诉讼中判断被告是否构成不作为）；法律责任[法理学]（证据：用于在不同层面上决定责任的构成或者免除）,构建职责明确、依法行政的政府治理体系[行政法学]（证据：综合考虑行政资源的可及性、充足性及其与行政任务的匹配度）,行政主体论（谁有权行政、组织载体与责任归属）[行政法学]（证据：从机构编制、预算、发展规划等方面了解行政资源配置情况）,4,"关键词:5, 语义:4, 双重:0, AI核验:4",置信度:high；论文核心围绕行政履职评价中的“作为可能性”展开，实质是对行政法上可问责性理论的深化。虽提及立法程序与民主立法，但仅作为批判既有理论预设的背景，非核心论证对象，故未列入。
38,0634,中国法学,2019,5,组织法的诉讼构造:公司决议纠纷诉讼规则重构,丁勇,华东政法大学,诉讼法学,86,85-88分,5.8,中等分歧（5<分歧值≤8）,经过候选复评,民事诉讼法学,法理学,民事诉讼法[民事诉讼法学]（证据：对普通民事诉讼规则的路径依赖导致改造）；法律行为[法理学]（证据：公司决议属于民事法律行为（《民法总则》第134条））,,,2,"关键词:3, 语义:1, 双重:0, AI核验:2",置信度:high；论文实质聚焦商法/公司法领域的诉讼规则重构，但在给定候选条目中，其核心论证紧密围绕民事诉讼规则的重构展开，并明确援引法律行为概念进行法理对照。数字法学条目无实质关联。
39,1848,法学研究,2025,4,宪法秩序下如何安放法典——从“基础性法律”的适用切入,张翔,北京大学法学院,宪法学与行政法学,85.7,85-88分,3.84,低分歧（分歧值≤5）,经过候选复评与重点复核,宪法学,法理学,合宪性审查[宪法学]（证据：以法典作为合宪性审查依据不能成立。）；宪法精神[宪法学]（证据：实质性地体现着宪法精神）；法律体系[法理学]（证据：法体系的无矛盾性本身就是宪法诫命）,,第六：宪法实施论[宪法学]（证据：在合宪性解释层面为法体系内评价矛盾的处理提供助力。）；第四部分：运行论（法的制定到实施）[法理学]（证据：既有的规范适用规则足以解决规范冲突的难题）,5,"关键词:8, 语义:28, 双重:2, AI核验:5",置信度:high；论文以宪法秩序为基点，批判“基础性法律优先适用”说，核心论证围绕宪法位阶、合宪性解释与法秩序统一展开，故宪法学为主，法理学为辅。未匹配原创性理论因论文侧重方法论与解释论，与库中特定理论表述关联较弱。
