专家清单序号,论文编号,期刊,年份,期,题目,作者,作者机构,专家审阅学科,AI辅助内容评价分,AI辅助内容评价分区间,分歧值（以标准差衡量）,分歧区间,候选来源,核验模型,主要对应学科,次要对应学科,标识性概念对应,原创性理论对应,框架结构对应,对应条目总数,匹配方法统计,模型核验明细,备注
16,0319,中国法学,2023,2,基本权利私人间效力法理基础的澄清与重构,杨登杰,北京航空航天大学法学院,民商法学,87.675,85-88分,8.84,较高分歧（分歧值>8）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,宪法学,人权法学,新时代中国宪法理论[宪法学]（证据：植根于中国社会主义宪法之‘体’，与其全面根本法理念）{gpt-5.5-high+qwen3.7-max}；当代中国人权观[人权法学]（证据：人的全面解放、中道权利观）{gpt-5.5-high},,第四：基本权利论[宪法学]（证据：基本权利私人间效力法理基础的澄清与重构）{gpt-5.5-high+qwen3.7-max},3,"关键词:3, 语义:8, 双重:0, AI核验:5",qwen3.7-max:宪法学/2项；gpt-5.5-high:宪法学/3项,置信度分布:{'high': 2}；qwen3.7-max:论文虽涉及私法自治与民法合宪性解释（专家审阅学科为民商法学），但其核心论证与理论重构均立足于宪法学基本权利理论与中国宪法体制，故主要对应宪法学。；gpt-5.5-high:论文虽涉及私法自治、私人间法律关系等民商法问题，但其核心论证是宪法基本权利的价值、效力与宪法根本法功能；法理学中的“法律关系”“法律行为”等仅为一般性或引注文献
17,0101,中国法学,2024,3,中国特色反腐败制度框架下贿赂犯罪法益的确定,陈金林,武汉大学法学院,刑法学,87.675,85-88分,4.74,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,刑法学,法理学,党内法规[法理学]（证据：融合具有中国特色的党内法规制度）{qwen3.7-max}；党内法规 [keyword][法理学]（证据：中国特色的党内法规制度）{gpt-5.5-high},"腐败犯罪刑事治理理论[刑法学]（证据：构建错落有致的腐败犯罪动态防控结构）{qwen3.7-max}；腐败犯罪刑事治理理论 [semantic, 相似度:0.69][刑法学]（证据：腐败犯罪动态防控结构）{gpt-5.5-high}",,4,"关键词:2, 语义:1, 双重:0, AI核验:4",qwen3.7-max:刑法学/2项；gpt-5.5-high:刑法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文核心为刑法学中的贿赂犯罪法益与腐败治理，同时涉及法理学中的纪法衔接问题。社会危害性仅为通用表述，未作理论探讨，故不匹配。；gpt-5.5-high:“社会危害性”虽在文中出现，但仅为一般性表述，未围绕社会危害性理论展开核心论证，故不确认对应。
18,1779,法学研究,2024,5,财产犯罪中财产性利益的事实占有：以存款债权为中心,徐凌波,南京大学法学院,刑法学,87.675,85-88分,4.27,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,刑法学,民法学,民事权利[民法学]（证据：应遵循民事权利分配规则）{gpt-5.5-high},,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：修正其构成要件解释...符合盗窃罪占有转移的行为特征）{gpt-5.5-high+qwen3.7-max},2,"关键词:2, 语义:6, 双重:0, AI核验:3",qwen3.7-max:刑法学/1项；gpt-5.5-high:刑法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文主要探讨刑法中财产犯罪的构成要件，同时涉及民法中债权、物权等基础概念作为前置判断，故次要学科包含民法学，但候选条目中无高度契合的民法学具体条目，故仅匹配刑法；gpt-5.5-high:论文主要对应刑法学中的犯罪论，尤其是财产犯罪、盗窃罪构成要件解释。民法学仅作为次要对应，用于说明存款债权等财产性利益的权利归属规则；其他候选条目如刑事审判、腐败
19,1200,法学研究,2019,4,代理公开的例外类型和效果,"朱虎[1,2]",中国人民大学民商事法律科学研究中心;中国人民大学法学院,民商法学,87.6,85-88分,3.15,低分歧（分歧值≤5）,经过候选复评,qwen3.7-max；gpt-5.5-high,民法学,,法律行为 [keyword][法理学]（证据：法律行为评价为代理行为）{gpt-5.5-high},,,1,"关键词:4, 语义:2, 双重:0, AI核验:1",qwen3.7-max:民法学/0项；gpt-5.5-high:法理学/1项,"置信度分布:{'high': 1, 'medium': 1}；qwen3.7-max:论文核心探讨民法学中的代理公开原则及其例外（隐名代理、间接代理等），属于民法总则与合同法领域。候选知识库条目中，民法学仅提供“侵权责任理论”，与本文主题完全不符；gpt-5.5-high:论文实质主题是民法中的代理制度与合同法第402、403条解释。候选中的民法学条目为侵权责任理论，不对应；利益平衡、法典编纂等仅为一般论证或文献背景，非相应学科理"
20,1885,中国法学,2025,4,论程序法上的犯罪事实,赵常成,南京大学法学院,刑法学,87.55,85-88分,3.39,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,刑事诉讼法学,刑法学,刑事审判[刑事诉讼法学]（证据：明确法院审理与裁判的界限（控审分离））{gpt-5.5-high+qwen3.7-max}；刑事诉讼法[刑事诉讼法学]（证据：《刑事诉讼法》第186条中的“指控犯罪事实”）{gpt-5.5-high+qwen3.7-max}；犯罪构成[刑法学]（证据：从犯罪构成要件上看，非法侵入住宅罪与故意杀人罪毫无关联）{gpt-5.5-high+qwen3.7-max}；犯罪嫌疑人、被告人[刑事诉讼法学]（证据：诉讼标的由“被告人”与“犯罪事实”）{gpt-5.5-high},,,4,"关键词:5, 语义:3, 双重:2, AI核验:7",qwen3.7-max:刑事诉讼法学/3项；gpt-5.5-high:刑事诉讼法学/4项,置信度分布:{'high': 2}；qwen3.7-max:论文虽被专家审阅为刑法学，但其核心探讨程序法上的犯罪事实与诉讼标的，主要学科应为刑事诉讼法学；刑法学中的犯罪构成等概念仅作为实体评价工具被引入，以完善程序法的认；gpt-5.5-high:论文主要属于刑事诉讼法学，研究程序法上的犯罪事实、诉讼标的、控审分离与一事不再理。刑法学中的犯罪构成仅作为规范层面判断犯罪事实同一性的辅助标准，未实质对应刑事责
21,1493,法学研究,2021,5,抽逃出资规则及公司分配制度的系统性改造,王军,中国政法大学,民商法学,87.5,85-88分,7.03,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民商法学,,,,,0,"关键词:4, 语义:0, 双重:0, AI核验:0",qwen3.7-max:民商法学/0项；gpt-5.5-high:民商法学/0项,置信度分布:{'high': 2}；qwen3.7-max:论文核心探讨公司法中的抽逃出资规则与公司分配制度的系统性改造，属于典型的民商法学研究。候选条目中的法理学“法律规则”“法律责任”在文中仅作为部门法具体规则（如抽；gpt-5.5-high:论文核心属于公司法中的资本制度、公司分配制度与股东出资责任问题。候选条目中的“法律规则”“法律责任”仅为通用法学用语，未作为法理学标识性概念展开；“内在逻辑”虽
22,1168,法学研究,2022,5,为被告人利益抗诉与上诉不加刑原则之适用———以上诉理由之限制为中心,郭烁,中国政法大学诉讼法学研究院,诉讼法学,87.4,85-88分,4.85,低分歧（分歧值≤5）,经过候选复评,qwen3.7-max；gpt-5.5-high,刑事诉讼法学,,刑事诉讼法[刑事诉讼法学]（证据：2018年刑事诉讼法第237条第2款）{qwen3.7-max}；犯罪嫌疑人、被告人[刑事诉讼法学]（证据：为被告人利益抗诉与上诉不加刑）{qwen3.7-max}；刑事诉讼法 [keyword][刑事诉讼法学]（证据：2018年刑事诉讼法第237条）{gpt-5.5-high}；犯罪嫌疑人、被告人 [keyword][刑事诉讼法学]（证据：为被告人利益抗诉案件）{gpt-5.5-high},认罪认罚从宽制度[刑事诉讼法学]（证据：审查起诉阶段认罪认罚；一审法院未接受）{qwen3.7-max},,5,"关键词:2, 语义:12, 双重:0, AI核验:5",qwen3.7-max:刑事诉讼法学/3项；gpt-5.5-high:刑事诉讼法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文核心聚焦于刑事诉讼法中的上诉不加刑原则与上诉理由，未涉及刑法学实体量刑理论或其他学科内容。认罪认罚从宽制度主要作为引发争议的案例制度背景出现。；gpt-5.5-high:论文主要对应刑事诉讼法学。文中虽提及认罪认罚、量刑、域外法史等内容，但均为案件背景或辅助论证，不构成对候选原创性理论或其他学科框架的实质对应。
23,0820,中国法学,2022,5,论法律解释目标的逐案决定,陈坤,南京大学法学院,法学理论,87.375,85-88分,4.14,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,法理学,,,,,0,"关键词:1, 语义:5, 双重:1, AI核验:0",qwen3.7-max:法理学/0项；gpt-5.5-high:无实质对应学科/0项,置信度分布:{'high': 2}；qwen3.7-max:论文核心探讨法理学中的法律解释目标与法学方法论问题。候选条目中法理学仅提供“本体论”，与论文的方法论/解释论属性不符；其他学科提供的“解释论”（法律史学）或“方；gpt-5.5-high:论文核心是法学方法论中的法律解释目标及其逐案决定。候选条目中的“方法论”“解释论”等仅为通用或局部相似表述，缺乏数字法学、法律史学注释理论、法理学本体论、立法学
24,0882,中国法学,2023,2,过失犯远因溯责的规制路径：以渎职犯罪为中心,陈璇,中国人民大学刑事法律科学研究中心,刑法学,87.325,85-88分,7.06,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,刑法学,,免予刑事处罚与非刑罚处罚措施[刑法学]（证据：“享受‘免刑’待遇”、“定罪免刑的做法”）{gpt-5.5-high+qwen3.7-max}；宽严相济刑事政策[刑法学]（证据：张弛有度、宽严有序）{gpt-5.5-high},主、从二分的共同犯罪理论[刑法学]（证据：以限制正犯概念为基点）{gpt-5.5-high},刑事制裁论（刑事责任、刑罚及其种类、刑罚制度）[刑法学]（证据：“是否需要动用刑罚不仅是犯罪判断的结论”）{gpt-5.5-high+qwen3.7-max},4,"关键词:2, 语义:12, 双重:0, AI核验:6",qwen3.7-max:刑法学/2项；gpt-5.5-high:刑法学/4项,"置信度分布:{'high': 1, 'medium': 1}；qwen3.7-max:论文核心在于过失犯的远因溯责与正犯概念，但候选知识库中无直接对应的犯罪论条目，故匹配其第六部分重点论述的刑事制裁与免刑问题。；gpt-5.5-high:论文核心是刑法总论中的过失犯远因溯责、限制正犯概念、自我答责和注意义务扩张；候选条目中无完全对应项，以上为实质相关的刑法学条目。行政处罚仅作为非刑罚分流措施出现"
25,0946,中国社会科学,2021,4,"从""权能分离""到""权利行使""",蔡立东,"吉林大学、司法数据应用研究中心,长春130012",民商法学,87.25,85-88分,3.33,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民法学,,,契合土地公有制的原创性物权理论[民法学]（证据：创新社会主义公有制背景下的用益物权制度）{gpt-5.5-high+qwen3.7-max},第二：物权理论[民法学]（证据：用益物权的生成机制关涉物权制度的架构和容量）{gpt-5.5-high+qwen3.7-max},2,"关键词:3, 语义:12, 双重:1, AI核验:4",qwen3.7-max:民法学/2项；gpt-5.5-high:民法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文是民法学物权领域的重磅理论文章，核心贡献在于立足中国土地公有制提出用益物权生成的“权利行使理论”，完美对应民法学的原创性物权理论和物权理论框架，不涉及其他学；gpt-5.5-high:论文虽反复使用“权能分离”，但其所批判和替代的是民法物权理论中的权能分离说，并非法律史学的“权能分治理论”。宪法、公有制等内容主要作为物权制度前提出现，未构成宪
