rank,pid,category,quota_category,journal,year,title,author,institution,score,std,source,selection_reason,position_total_score,object_belonging,material_belonging,category_autonomy,explanatory_orientation,system_mappability,position_agreement,position_review_required,research_route
11,1711,民商法学,民商法学,法学研究,2023,虚假陈述比例连带责任的认定模式与体系展开,邹学庚,中国政法大学民商经济法学院,87.75,3.93,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
12,1307,刑法学,刑法学,法学研究,2020,刑民交叉实体问题的解决路径——“法律效果论”之展开,陈少青,对外经济贸易大学法学院,87.7,3.31,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
13,1428,诉讼法学,诉讼法学,法学研究,2025,实体性查封优先权的理论证成及体系展开,马强伟,上海财经大学法学院,87.7,2.58,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
14,1615,法学理论,法学理论,法学研究,2019,注意义务的规范本质与判断标准,陈璇,中国人民大学刑事法律科学研究中心,87.7,5.8,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
15,101,刑法学,刑法学,中国法学,2024,中国特色反腐败制度框架下贿赂犯罪法益的确定,陈金林,武汉大学法学院,87.675,4.74,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,comparative_localization
16,319,民商法学,民商法学,中国法学,2023,基本权利私人间效力法理基础的澄清与重构,杨登杰,北京航空航天大学法学院,87.675,8.84,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_legal_theory
17,1779,刑法学,刑法学,法学研究,2024,财产犯罪中财产性利益的事实占有：以存款债权为中心,徐凌波,南京大学法学院,87.675,4.27,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
18,1200,民商法学,民商法学,法学研究,2019,代理公开的例外类型和效果,朱虎,中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,87.6,3.15,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
19,1885,刑法学,刑法学,中国法学,2025,论程序法上的犯罪事实,赵常成,南京大学法学院,87.55,3.39,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
20,1493,民商法学,民商法学,法学研究,2021,抽逃出资规则及公司分配制度的系统性改造,王军,中国政法大学,87.5,7.03,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
21,1168,诉讼法学,诉讼法学,法学研究,2022,为被告人利益抗诉与上诉不加刑原则之适用———以上诉理由之限制为中心,郭烁,中国政法大学诉讼法学研究院,87.4,4.85,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
22,882,刑法学,刑法学,中国法学,2023,过失犯远因溯责的规制路径：以渎职犯罪为中心,陈璇,中国人民大学刑事法律科学研究中心,87.325,7.06,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,china_practice_governance
23,946,民商法学,民商法学,中国社会科学,2021,"从""权能分离""到""权利行使""",蔡立东,"吉林大学、司法数据应用研究中心,长春130012",87.25,3.33,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
24,619,宪法学与行政法学,宪法学与行政法学,中国法学,2022,符合法律的宪法解释与宪法发展,杜强强,首都师范大学政法学院,87.225,3.42,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,china_practice_governance
25,1519,法学理论,法学理论,法学研究,2023,整体法秩序视野下被害人自陷风险的理论重塑,陈璇,中国人民大学刑事法律科学研究中心,87.2,4.92,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
26,1553,刑法学,刑法学,法学研究,2024,正当防卫中的退避义务,江溯,北京大学法学院,87.1,3.15,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,comparative_localization
27,1575,民商法学,民商法学,法学研究,2024,民法典的精神损害赔偿体系——以功能主义为视角,洪国盛,北京大学国际法学院,87.05,5.54,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
28,317,法学理论,法学理论,中国法学,2021,基本原则与概括条款的区分:我国诚实信用与公序良俗的解释论构造,于飞,中国政法大学民商经济法学院,87.0,2.93,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,comparative_localization
29,1390,诉讼法学,诉讼法学,法学研究,2021,基于决定关系的证据客观性:概念、功能与理论定位,徐舒浩,中国人民大学法学院,86.85,3.85,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_legal_theory
30,413,法学理论,法学理论,中国法学,2017,抢劫罪与敲诈勒索罪之界分：基于被害人的处分自由,车浩,北京大学法学院,86.55,3.62,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
31,1194,法学理论,法学理论,法学研究,2019,从基本权理论看法律行为之阻却生效要件,,一个跨法域释义学的尝试-章程-浙江大学光华法学院,86.35,3.98,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,comparative_localization
32,1818,法学理论,法学理论,法学研究,2019,金钱 “占有即所有”原理批判及权利流转规则之重塑,孙鹏,西南政法大学民商法学院,86.325,5.03,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,china_practice_governance
33,1864,环境与资源保护法学,环境与资源保护法学,法学研究,2025,生态环境法典的复合结构及其体系化适用,陈海嵩,武汉大学环境法研究所,86.175,2.8,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,china_practice_governance
34,21,诉讼法学,诉讼法学,中国法学,2023,“审执分离”本质与路径的再认识,张卫平,烟台大学,86.125,5.19,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
35,1448,宪法学与行政法学,宪法学与行政法学,法学研究,2022,履行行政职责的作为可能性,林鸿潮,中国政法大学法治政府研究院,86.05,5.83,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,china_practice_governance
36,634,诉讼法学,诉讼法学,中国法学,2019,组织法的诉讼构造:公司决议纠纷诉讼规则重构,丁勇,华东政法大学,86.0,5.8,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
37,1330,经济法学,经济法学,法学研究,2024,反不正当竞争法一般条款的保护限度——以市场区分为视角,刘建臣,山东大学法学院,85.7,4.03,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,china_practice_governance
38,1848,宪法学与行政法学,宪法学与行政法学,法学研究,2025,宪法秩序下如何安放法典——从“基础性法律”的适用切入,张翔,北京大学法学院,85.7,3.84,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
39,1614,知识产权法学,知识产权法学,法学研究,2021,"注册商标使用中的""未改变显著特征""",付继存,中国政法大学民商经济法学院,85.6,4.6,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,china_practice_governance
40,1860,诉讼法学,诉讼法学,法学研究,2025,诉权处分合同的程序法效果及其司法审查,朱禹臣,中国人民大学法学院,85.55,5.96,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
41,1322,经济法学,经济法学,法学研究,2023,劳动关系认定的理论澄清与规范建构,朱军,上海交通大学凯原法学院,85.225,5.5,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,china_practice_governance
42,51,环境与资源保护法学,环境与资源保护法学,中国法学,2018,三权分置下农地流转权利体系重构研究,宋志红,中共中央党校（国家行政学院）法学部,84.925,4.38,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
43,1601,宪法学与行政法学,宪法学与行政法学,法学研究,2020,法律规范合宪性解释的方法论构造,刘召成,天津大学法学院,84.925,5.68,E1+E2,五轴归属9分学科配额补足,9,2,2,1,2,2,medium,False,chinese_legal_theory
44,1867,国际法学,国际法学,法学研究,2025,公法属地原则与域外适用的博弈共存,章晶,河海大学法学院,84.725,6.2,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
45,1763,宪法学与行政法学,宪法学与行政法学,法学研究,2016,论行政行为“明显不当”,何海波,清华大学法学院,84.475,3.5,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
46,1401,宪法学与行政法学,宪法学与行政法学,法学研究,2015,基本权利的功能体系与行政法治的进路,郑春燕,浙江大学光华法学院,84.25,5.73,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
47,1642,国际法学,国际法学,法学研究,2019,现代监护理念下监护与行为能力关系的重构,彭诚信,上海交通大学凯原法学院,84.1,4.72,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
48,1111,法律史,法律史,法学研究,2015,“直诉”源流通说辨正,王捷,华东政法大学法律古籍整理研究所,84.05,7.16,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,traditional_resource_transform
49,1761,法律史,法律史,法学研究,2019,论清代刑案诸证一致的证据标准——以同治四年郑庆年案为例,王志强,复旦大学法学院,83.025,10.73,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,traditional_resource_transform
50,180,党内法规学,党内法规学,中国法学,2024,党内法规的概念分析,朱林方,西南政法大学行政法学院,82.6,11.21,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_legal_theory
