paper_id,paper,研究创新性,研究创新性_std,现状洞察度,现状洞察度_std,理论建构力,理论建构力_std,逻辑连贯性,逻辑连贯性_std,学术共识度,学术共识度_std,前瞻延展性,前瞻延展性_std,ccb_score,round1_avg_std,round2_avg_std
37,raw/jiaodafaxue/666062641_胡加祥_2015_交大法学_世贸组织争端解决机制二十年回眸——以补偿机制为视角.md,30.0,0.0,0.0,0.0,0.0,0.0,10.0,12.25,5.0,8.66,1.25,2.17,12.94,9.25,4.43
38,raw/jiaodafaxue/666062642_胡滨斌_2015_交大法学_定牌加工商标侵权认定若干问题之反思——以“无锡艾弗公司诉香港鳄鱼恤公司”案为例.md,30.0,0.0,6.5,3.84,15.0,10.61,5.0,8.66,2.5,4.33,0.0,0.0,15.94,9.67,5.27
39,raw/jiaodafaxue/667188098_艾卡·雷宾德和王曦_2015_交大法学_欧盟和德国的环境保护集体诉讼.md,31.25,2.17,36.25,13.4,41.25,6.5,84.5,8.85,69.5,3.64,80.0,5.0,46.72,15.75,7.62
40,raw/jiaodafaxue/667188099_大久保规子和汝思思_2015_交大法学_环境公益诉讼与行政诉讼的原告适格——欧盟各国的发展情况.md,31.25,2.17,73.5,2.6,50.75,4.38,77.75,4.38,63.0,8.03,61.5,3.5,55.57,15.15,4.83
41,raw/jiaodafaxue/667188100_王曦和张岩_2015_交大法学_论美国环境公民诉讼制度.md,30.0,0.0,26.25,8.2,35.0,0.0,57.5,4.33,34.5,4.56,59.0,15.28,36.47,14.53,6.23
42,raw/jiaodafaxue/667188101_侯佳儒_2015_交大法学_环境公益诉讼的美国蓝本与中国借鉴.md,47.75,19.24,73.25,7.79,62.25,8.26,83.5,8.05,82.25,3.19,71.5,3.84,64.72,17.55,9.68
43,raw/jiaodafaxue/667188102_吴然_2015_交大法学_合法性判准的道德性：重访哈特富勒之争.md,29.5,0.87,11.25,2.17,18.75,10.83,30.0,0.0,2.5,4.33,3.75,6.5,23.43,19.22,4.75
44,raw/jiaodafaxue/667188103_徐向华和林彦_2015_交大法学_《立法法》修正案评析.md,38.75,9.6,35.75,13.94,35.0,9.35,67.5,8.29,70.25,10.87,73.5,3.84,44.15,19.82,10.77
45,raw/jiaodafaxue/667188104_黄茂荣_2015_交大法学_核实课征原则之实践及其司法审查.md,62.5,16.01,35.25,35.46,70.0,15.41,78.75,13.79,84.75,4.21,73.25,11.14,61.24,26.83,18.5
46,raw/jiaodafaxue/667188105_万江_2015_交大法学_农村土地确权规则的选择——基于S市的经验研究.md,79.5,14.26,74.0,7.87,60.0,10.7,79.25,4.66,79.0,3.67,71.75,4.09,77.71,17.1,8.72
47,raw/jiaodafaxue/667188106_熊文聪_2015_交大法学_作品“独创性”概念的法经济分析.md,61.0,6.96,85.0,0.0,83.75,3.63,85.5,2.87,83.25,3.03,68.75,2.17,79.43,10.2,3.58
48,raw/jiaodafaxue/667188107_于佳佳_2015_交大法学_日本轻微犯罪处理机制的经验与启示.md,30.0,0.0,0.0,0.0,2.5,4.33,2.5,4.33,5.0,5.0,2.5,4.33,11.62,9.05,3.47
49,raw/jiaodafaxue/667188108_徐国栋_2015_交大法学_《十二表法》的制定、灭失与还原（下）.md,26.25,6.5,25.0,5.0,30.0,9.35,33.75,2.17,36.25,12.44,21.25,4.15,28.38,14.93,7.63
50,raw/jiaodafaxue/667188109_其木提_2015_交大法学_论浮动账户质押的法律效力——“中国农业发展银行安徽省分行诉张大标、安徽长江融资担保集团有限公司保证金质权确认之诉纠纷案”评释.md,22.5,7.5,0.0,0.0,8.75,7.4,10.0,7.91,0.0,0.0,10.0,12.25,11.84,12.3,6.73
51,raw/jiaodafaxue/668314482_刘思达等_2016_交大法学_社科法学三人谈：国际视野与本土经验.md,33.75,4.15,83.5,7.23,22.5,2.5,57.75,15.09,61.25,16.35,67.75,7.08,49.12,19.53,10.08
52,raw/jiaodafaxue/668314483_刘思达_2016_交大法学_美国“法律与社会运动”的兴起与批判——兼议中国社科法学的未来走向.md,61.25,14.89,86.5,2.6,43.0,8.03,82.25,4.32,80.75,3.27,81.25,2.59,68.91,12.62,6.88
53,raw/jiaodafaxue/668314484_孙少石_2016_交大法学_知识生产的另一种可能——对社科法学的述评.md,32.5,4.33,57.5,10.9,33.75,4.15,75.75,2.59,63.75,6.18,76.75,4.92,48.78,13.78,6.37
54,raw/jiaodafaxue/668314485_华雨_2016_交大法学_法实证主义命题群的历史演变.md,27.5,2.5,18.75,2.17,36.25,2.17,12.5,12.5,5.0,5.0,11.25,8.93,23.46,13.93,6.4
55,raw/jiaodafaxue/668314486_田勇军_2016_交大法学_交通行政处罚中“一事不再罚”之“一事”问题探析.md,45.5,9.6,51.25,6.5,81.75,5.93,74.75,4.97,69.0,5.34,79.0,3.67,60.13,16.1,6.92
56,raw/jiaodafaxue/668314487_崔建远_2016_交大法学_知识产权法之于民法典.md,76.75,11.69,64.25,10.69,69.5,16.07,79.75,3.49,84.25,2.49,78.25,4.09,76.24,23.83,9.33
57,raw/jiaodafaxue/668314488_曾品杰_2016_交大法学_论人工胚胎之法律地位——从法国法谈起.md,30.0,0.0,0.0,0.0,40.75,10.21,27.5,4.33,41.75,4.09,22.0,4.69,24.25,12.47,4.48
58,raw/jiaodafaxue/668314489_喻浩东_2016_交大法学_“基于合意的他者危险化”与被害人自我答责——兼论中国语境下的归责问题.md,35.0,6.12,15.0,8.66,42.0,21.55,28.75,17.09,0.0,0.0,11.25,8.93,30.06,26.08,12.0
59,raw/jiaodafaxue/668314490_伊曼·安纳布塔维等_2016_交大法学_事后监管：法律如何应对金融市场失灵.md,36.25,6.5,71.0,15.76,68.0,10.68,89.5,2.87,81.0,3.67,72.0,3.74,62.56,17.03,8.3
60,raw/jiaodafaxue/668314491_朱晓喆和冯洁语_2016_交大法学_产品自损、纯粹经济损失与侵权责任——以最高人民法院（2013）民申字第908号民事裁定书为切入点.md,34.5,6.58,1.25,2.17,9.5,11.43,22.5,12.99,12.5,12.5,6.25,10.83,19.44,27.28,10.87
61,raw/jiaodafaxue/668988950_陈可倩和龚自力_2016_交大法学_白领犯罪前沿问题——白领犯罪国际研讨会会议综述.md,30.0,0.0,47.5,2.5,26.25,2.17,45.0,5.2,29.25,9.58,64.25,6.42,36.99,10.88,4.98
62,raw/jiaodafaxue/668988951_肖凯_2016_交大法学_高频交易与操纵市场.md,38.75,10.23,57.5,4.33,61.5,6.5,78.5,3.91,61.75,8.73,65.75,2.49,56.53,18.32,6.97
63,raw/jiaodafaxue/668988952_尹云霞等_2016_交大法学_企业能动性与反腐败“辐射型执法效应”——美国FCPA合作机制的启示.md,30.0,0.0,0.0,0.0,18.75,8.93,31.0,18.59,28.75,10.83,47.5,12.99,21.19,13.05,9.88
64,raw/jiaodafaxue/668988953_高振翔_2016_交大法学_互联网金融语境中的非法集资风险及其刑法规制.md,27.5,2.5,2.5,4.33,18.75,6.5,33.75,2.17,6.25,8.2,15.0,3.54,21.54,15.62,5.25
65,raw/jiaodafaxue/668988954_卢西恩·E.德尔文和朱霁康_2016_交大法学_国际白领犯罪与国际化的内部调查.md,31.25,2.17,59.5,6.38,40.75,8.47,84.25,3.77,59.25,4.38,47.5,4.82,52.04,13.22,5.78
66,raw/jiaodafaxue/668988955_叶会成_2016_交大法学_还原论与描述性法哲学是否可能？——评马默的《法哲学》.md,31.25,2.17,2.5,4.33,10.0,10.0,0.0,0.0,0.0,0.0,7.5,4.33,13.38,15.83,4.0
67,raw/jiaodafaxue/668988956_李凤章_2016_交大法学_开发权视角下的小产权房及其处理——以深圳经验为例.md,33.0,7.04,0.0,0.0,7.5,7.5,23.75,2.17,20.0,17.32,15.0,10.61,18.56,15.65,8.58
68,raw/jiaodafaxue/668988957_张昊天_2016_交大法学_论公共企业的信息公开主体资格.md,45.5,13.35,13.75,2.17,50.25,2.86,33.75,12.44,0.0,0.0,40.0,5.0,36.1,23.68,6.9
69,raw/jiaodafaxue/668988958_张建伟_2016_交大法学_制度基因、金融发展与“法律家长主义”进和退（上）——功能视角下的“中国悖论”及求解.md,40.75,15.86,12.5,4.33,27.5,7.5,7.5,8.29,11.25,19.49,21.25,14.31,23.94,26.57,13.43
70,raw/jiaodafaxue/668988959_吉冠浩_2016_交大法学_读解辩护人妨害作证罪——以指导案例为研究对象.md,25.5,5.77,3.75,2.17,27.0,4.69,37.5,8.29,25.0,0.0,7.5,12.99,23.47,22.73,6.53
71,raw/jiaodafaxue/668988960_章剑生_2016_交大法学_行政允诺的认定及其裁判方式——黄银友等诉湖北省大冶市政府、大冶市保安镇政府行政允诺案评析保安镇政府行政允诺案评析.md,86.5,1.5,47.5,15.76,80.75,2.95,81.0,1.0,82.25,4.38,60.25,2.86,75.01,18.58,5.48
72,raw/jiaodafaxue/670037397_杨力_2016_交大法学_职业主义导向的国际法科人才培养改革.md,31.25,2.17,25.75,26.16,48.25,2.05,66.75,3.7,63.0,6.28,65.75,5.12,41.31,16.03,8.77
73,raw/jiaodafaxue/670037398_许身健_2016_交大法学_卓越法律人才教育培养计划之反思与重塑.md,32.5,2.5,46.25,5.45,53.75,7.4,73.0,5.43,67.25,7.12,51.25,6.5,49.01,17.78,6.62
74,raw/jiaodafaxue/670037399_丁相顺_2016_交大法学_“项目推进”与“制度改革”：比较法视野下的中国法学教育改革路径.md,30.0,0.0,2.5,4.33,17.5,7.5,2.5,4.33,2.5,4.33,7.5,4.33,14.85,9.73,4.78
75,raw/jiaodafaxue/670037400_李翔_2016_交大法学_论法学教育改革与法律职业资格准入.md,30.0,0.0,0.0,0.0,6.25,5.45,20.0,5.0,21.25,2.17,15.0,16.58,16.4,8.73,5.62
76,raw/jiaodafaxue/670037401_高橋裕和李鹏舒_2016_交大法学_Eco o—Legal S udies的知识课题——循着法的领域.md,48.25,15.2,71.75,17.3,41.25,13.4,76.5,8.05,79.5,4.33,58.25,9.04,59.19,20.53,12.97
77,raw/jiaodafaxue/670037402_角松生史等_2016_交大法学_都市空间的法律结构与司法权的作用.md,75.25,9.78,70.25,9.07,67.5,7.63,86.5,4.77,77.5,10.31,82.75,1.3,80.35,19.02,8.25
78,raw/jiaodafaxue/670037403_印子_2016_交大法学_宅基地使用权的法律属性辨析.md,36.25,23.55,0.0,0.0,11.25,14.31,11.25,14.31,50.0,20.31,13.75,6.5,17.43,21.73,15.2
79,raw/jiaodafaxue/670037404_张冠群_2016_交大法学_我国台湾地区保险经纪人义务相关规定之评析——以2015年台湾地区“保险法”之修正为中心.md,30.0,0.0,0.0,0.0,6.25,6.5,7.5,7.5,8.75,10.23,7.5,12.99,13.46,9.55,7.17
80,raw/jiaodafaxue/670037405_林喜芬和董坤_2016_交大法学_非法证据排除规则运行状况的实证研究——以557份律师调查问卷为样本.md,22.5,8.29,0.0,0.0,8.0,9.06,0.0,0.0,5.0,5.0,10.0,6.12,9.35,12.57,5.5
81,raw/jiaodafaxue/670037406_张建伟_2016_交大法学_制度基因、金融发展与“法律家长主义”进和退（下）——功能视角下的“中国悖论”及求解.md,32.5,2.5,7.5,7.5,15.0,3.54,23.75,2.17,7.5,7.5,18.75,12.44,21.47,18.62,6.88
82,raw/jiaodafaxue/670037407_高军和李文波_2016_交大法学_论税法解释函令——基于台湾地区税法理论与实践的探讨.md,31.25,2.17,2.5,4.33,16.25,9.6,8.75,5.45,0.0,0.0,6.25,10.83,16.54,12.83,6.23
83,raw/jiaodafaxue/670037408_王贵松_2016_交大法学_行政法上利害关系的判断基准——黄陆军等人不服金华市工商局工商登记行政复议案评析.md,59.25,17.8,86.75,5.8,87.25,1.92,86.5,1.66,84.0,1.58,72.5,4.72,80.07,11.85,6.42
84,raw/jiaodafaxue/670865332_林来梵等_2016_交大法学_对话一：民法典编纂的宪法问题.md,77.5,13.16,80.0,5.43,37.5,7.5,74.5,12.18,66.75,13.94,76.25,12.44,70.32,18.45,12.47
85,raw/jiaodafaxue/670865333_韩光明和丁利_2016_交大法学_对话二：立法追求、法律技术与民法典编纂.md,56.75,15.22,52.5,24.62,36.25,2.17,71.0,1.0,60.5,14.94,67.75,1.79,55.49,21.83,11.52
86,raw/jiaodafaxue/670865334_谢鸿飞_2016_交大法学_《民法总则》法人分类的层次与标准.md,53.0,16.57,69.25,4.38,40.0,23.18,81.75,2.49,71.0,10.65,77.5,2.87,61.29,21.98,11.58
87,raw/jiaodafaxue/670865335_傅穹_2016_交大法学_法人概念的固守与法人分类的传承.md,56.25,14.8,84.0,5.34,44.0,3.67,59.5,34.39,59.0,28.08,59.75,3.49,61.38,18.37,17.27
88,raw/jiaodafaxue/670865336_许德风_2016_交大法学_法人的虚与实.md,34.5,2.87,57.0,2.12,57.5,8.29,62.5,14.24,71.0,1.73,68.25,6.02,50.44,19.85,6.77
89,raw/jiaodafaxue/670865337_解亘_2016_交大法学_《民法总则（草案）》中时效制度的不足.md,77.75,3.27,66.0,5.1,70.0,12.02,81.75,2.49,78.25,13.65,81.25,2.59,79.56,14.23,7.55
90,raw/jiaodafaxue/670865338_戴孟勇_2016_交大法学_论因起诉及与起诉类似的事项导致诉讼时效中断的效力.md,74.75,5.97,68.25,13.48,85.75,5.12,87.75,1.79,85.75,1.3,76.25,2.17,81.22,14.6,5.75
91,raw/jiaodafaxue/670865339_朱晓喆_2016_交大法学_关于《民法总则（草案）》诉讼时效制度的批评意见.md,82.0,7.48,66.25,15.16,56.0,34.09,81.75,6.42,83.0,6.28,75.0,2.12,76.65,13.62,13.77
92,"raw/jiaodafaxue/670865340_张谷_2016_交大法学_管制还是自治,的确是个问题!——对《民法总则（草案）》“法人”章的评论.md",75.0,6.28,61.25,6.46,58.25,20.23,84.5,7.26,64.5,26.09,79.5,3.64,74.04,15.93,13.48
93,raw/jiaodafaxue/670865341_伍德志_2016_交大法学_冲突、迎合与默契：对传媒与司法关系的再审视.md,28.75,4.15,16.25,9.6,16.25,18.5,10.0,12.25,17.5,17.5,8.75,8.93,19.19,16.95,13.65
94,raw/jiaodafaxue/670865342_秦裕林等_2016_交大法学_波斯纳写错了贝叶斯公式吗？.md,33.75,4.15,30.0,15.41,36.25,13.4,79.75,3.03,57.0,26.95,55.0,6.12,44.13,19.13,13.3
95,raw/jiaodafaxue/670865343_许可_2016_交大法学_中国律师职业的兴起（上）——以商务律师为中心.md,22.5,12.99,2.5,4.33,7.5,12.99,0.0,0.0,10.0,12.25,11.25,8.93,9.85,10.3,9.9
96,raw/jiaodafaxue/670865344_王志远_2016_交大法学_公众意见与司法决策：以美国联邦最高法院为例.md,59.25,14.29,81.75,5.4,50.0,9.35,74.75,2.95,74.5,4.27,45.0,10.0,68.56,17.57,8.88
97,raw/jiaodafaxue/670865345_陈洪兵_2016_交大法学_罪刑相适应原则在刑法解释中的适用研究.md,35.0,8.66,7.5,12.99,7.5,4.33,0.0,0.0,7.5,7.5,3.75,6.5,15.44,21.13,7.7
98,raw/jiaodafaxue/670865346_李志恒_2016_交大法学_数额犯之数额的阶层犯罪论体系定位.md,43.75,9.6,0.0,0.0,36.75,3.03,16.25,10.83,15.0,18.37,11.25,8.93,25.75,21.95,9.77
99,raw/jiaodafaxue/670865347_其木提_2016_交大法学_论“跳单”之认定标准——最高人民法院指导案例1号评释.md,64.0,19.63,61.25,11.9,65.0,6.28,84.5,1.5,80.25,1.09,72.5,9.1,71.35,19.57,9.53
100,raw/jiaodafaxue/671670627_林彦和杨珍_2017_交大法学_罗伯特·博克的原旨主义.md,31.25,2.17,1.25,2.17,15.0,5.0,17.5,4.33,6.25,6.5,7.5,10.31,18.09,10.38,5.87
101,raw/jiaodafaxue/671670628_季卫东_2017_交大法学_日本宪法保障制度设计的不同思路.md,46.25,17.09,67.5,5.55,49.0,3.67,79.25,3.42,79.25,8.58,65.25,0.43,59.5,15.02,7.43
102,raw/jiaodafaxue/671670629_郑戈_2017_交大法学_传统中的变革与变革中的传统——德国宪法法院的诞生.md,57.25,14.45,75.0,2.12,40.25,2.86,73.75,1.79,73.0,7.38,58.75,4.15,62.31,20.48,6.3
103,raw/jiaodafaxue/671670630_杨帆_2017_交大法学_违宪审查的法国道路——一个政治宪法学的考察.md,30.0,0.0,2.5,4.33,13.75,3.03,16.25,16.35,10.0,7.07,7.5,10.31,17.43,10.85,7.92
104,raw/jiaodafaxue/671670631_赵宏_2017_交大法学_部门宪法的构建方法与功能意义：德国经验与中国问题.md,30.0,0.0,0.0,0.0,29.0,6.96,10.0,10.61,17.5,2.5,20.0,12.25,18.06,10.88,6.2
105,raw/jiaodafaxue/671670632_韩世远_2017_交大法学_买卖法的再法典化：区别对待消费者买卖与商事买卖.md,70.75,8.32,67.5,2.87,43.5,17.91,79.5,3.64,89.0,1.0,81.5,3.5,67.24,15.92,7.17
106,raw/jiaodafaxue/671670633_周江洪_2017_交大法学_典型合同与合同法分则的完善.md,59.0,16.2,50.5,21.41,55.75,8.17,80.75,4.38,77.5,5.72,80.0,1.41,66.54,21.0,11.02
107,raw/jiaodafaxue/671670634_方新军_2017_交大法学_关于民法典合同法分则的立法建议.md,26.25,6.5,48.75,8.93,33.75,11.39,55.0,3.0,65.75,17.8,71.75,5.4,39.63,16.25,10.18
108,raw/jiaodafaxue/671670635_纳塔利诺·伊尔蒂等_2017_交大法学_民法典的理念.md,30.0,0.0,57.5,4.33,43.75,11.39,77.5,3.57,73.5,8.2,49.25,14.29,50.07,16.95,8.03
109,raw/jiaodafaxue/671670636_朱广新_2017_交大法学_民法典之典型合同类型扩增的体系性思考.md,30.0,0.0,3.75,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.47,7.28,1.25
110,raw/jiaodafaxue/671670637_柳川隆和其木提_2017_交大法学_法经济学视野下的转售价格维持行为之合法性.md,50.5,16.07,63.0,8.92,57.0,9.43,78.5,3.91,71.75,2.49,67.0,2.12,64.18,15.87,8.27
111,raw/jiaodafaxue/671670638_翁武耀_2017_交大法学_再论税收法定原则及其在我国的落实——基于意大利强制性财产给付法定原则的研究.md,25.0,8.66,3.75,6.5,40.0,6.12,16.25,12.44,15.0,15.0,18.75,10.83,20.59,12.67,11.47
112,raw/jiaodafaxue/671670639_田文军_2017_交大法学_羁押必要性审查制度之检讨.md,32.5,4.33,0.0,0.0,11.25,2.17,21.25,12.44,10.0,10.0,17.5,5.59,18.46,11.22,6.65
113,raw/jiaodafaxue/671670640_许可_2017_交大法学_中国律师职业的兴起（下）——以商务律师为中心.md,15.0,15.0,0.0,0.0,11.25,11.39,10.0,10.0,8.75,10.23,3.75,6.5,9.63,12.73,10.2
114,raw/jiaodafaxue/671670641_王天华_2017_交大法学_框架秩序与规范审查——“华源公司诉商标局等商标行政纠纷案”一审判决评析.md,76.75,7.69,45.0,17.68,81.0,5.2,77.5,11.32,67.25,16.93,73.0,16.26,70.21,25.48,14.47
