paper_id,paper,研究创新性,研究创新性_std,现状洞察度,现状洞察度_std,理论建构力,理论建构力_std,逻辑连贯性,逻辑连贯性_std,学术共识度,学术共识度_std,前瞻延展性,前瞻延展性_std,ccb_score,round1_avg_std,round2_avg_std
23,raw/xueshuyuekan/671862082_张才琴和邱本_2017_学术月刊_“主客体理论”与环保法治建设.md,53.75,18.16,51.25,9.6,28.25,6.65,78.75,4.32,73.25,2.38,51.25,12.93,54.54,18.3,10.4
24,raw/xueshuyuekan/672116083_宋远升_2017_学术月刊_法治国视阈下司法压力的发生机制及法律规制.md,45.25,12.07,40.0,15.95,36.25,16.72,68.75,2.59,57.5,8.56,53.75,2.17,47.96,23.8,11.2
25,raw/xueshuyuekan/672684080_王云霞_2017_学术月刊_论税法的合作治理机制.md,28.75,4.15,25.0,12.25,49.0,7.97,66.0,6.0,55.0,8.63,68.5,4.09,40.21,18.62,8.28
26,raw/xueshuyuekan/672684086_尹成波_2017_学术月刊_子孙“自置财产权”研究——以律令和判例为中心.md,52.5,13.35,65.0,4.36,48.25,12.21,78.75,2.59,76.5,3.84,57.5,8.99,60.87,20.3,8.7
27,raw/xueshuyuekan/673240183_涂永前_2017_学术月刊_论法外选法——瑞士国际私法的实践与启示.md,52.25,16.21,70.75,4.38,56.75,12.62,77.0,2.12,76.75,1.3,74.25,6.26,66.22,19.9,8.2
28,raw/xueshuyuekan/673240185_钭晓东和黄秀蓉_2017_学术月刊_利益博弈-文化征服-身份认同：遗传资源知识产权的深层解读.md,31.25,2.17,32.75,15.67,29.5,5.32,62.75,16.39,50.5,15.27,36.25,12.44,38.71,18.5,12.9
29,raw/xueshuyuekan/673379229_马洪_2017_学术月刊_绿色原则何以入民法典.md,58.5,10.81,79.5,3.64,54.5,16.87,78.5,0.87,76.75,3.7,69.75,2.86,70.44,18.6,7.5
30,raw/xueshuyuekan/673776794_张小虎_2017_学术月刊_论刑法上典型异样因果形态的因果关系特别判断.md,68.25,8.32,78.75,5.07,82.0,3.08,80.5,3.64,80.25,6.5,58.0,3.08,78.03,14.0,5.7
31,raw/xueshuyuekan/673776795_关保英_2017_学术月刊_恶法非法论.md,30.5,0.87,46.75,6.06,46.25,8.93,38.25,14.02,42.5,7.5,30.0,3.54,38.93,17.7,7.9
32,raw/xueshuyuekan/674002484_王文胜_2017_学术月刊_《民法总则》与原有法律司法解释之间的规范竞合及其处理.md,69.25,23.11,69.75,7.95,71.75,4.6,86.5,1.5,80.25,14.6,61.25,5.63,76.87,16.5,11.0
33,raw/xueshuyuekan/674002486_李宇_2017_学术月刊_新桃换旧符：民法总则上的恶意串通行为无效规范.md,75.0,17.59,70.0,5.43,69.75,9.71,87.75,1.79,85.5,2.6,57.5,5.59,77.9,16.2,8.2
34,raw/xueshuyuekan/674370112_孟于群和杨署东_2018_学术月刊_国际公共产品供给：加总技术下的制度安排与全球治理.md,27.5,7.5,48.25,11.37,51.0,16.76,69.0,3.67,58.25,10.92,52.0,7.04,46.29,17.5,11.02
35,raw/xueshuyuekan/674665054_周东平和姚周霞_2018_学术月刊_论佛教对中国传统法律中罪观念的影响.md,65.5,14.92,46.75,20.58,53.25,16.71,75.75,2.49,82.0,4.95,56.25,7.4,61.34,24.4,12.9
36,raw/xueshuyuekan/675009937_高全喜_2018_学术月刊_新制起于南国：烫治宪法学视野下的“东南互保”.md,50.5,15.9,55.0,9.35,60.0,12.02,77.5,3.57,79.5,7.26,63.75,5.45,62.59,22.4,10.3
37,raw/xueshuyuekan/675009945_彭国翔和王硕_2018_学术月刊_在世界学术的整体中推进中国的人文学-彭国翔教授访谈.md,30.0,0.0,15.0,25.98,6.25,6.5,62.5,16.07,11.25,14.31,54.0,7.97,29.93,24.6,13.6
38,raw/xueshuyuekan/675245371_张淑芳_2018_学术月刊_论行政规避法律.md,40.0,9.35,28.75,9.6,22.5,16.01,67.5,3.57,53.75,11.58,42.5,10.9,40.74,22.4,11.8
39,raw/xueshuyuekan/675438273_叶榅平_2018_学术月刊_完善自然资源国家所有权行使人大监督立法的法理思考.md,35.25,3.19,60.25,5.21,46.75,6.06,82.0,0.0,72.75,1.3,62.0,2.12,54.16,17.4,3.4
40,raw/xueshuyuekan/675668482_文军和林茂_2018_学术月刊_知识分子：一个概念的社会学考评——基于“德雷福斯事件”的话语权分析.md,31.25,2.17,40.0,18.37,49.5,3.64,55.5,15.91,29.25,5.85,44.5,9.12,42.24,23.8,10.6
41,raw/xueshuyuekan/675668486_李斯特_2018_学术月刊_坏声明与好法治——社会主义中国文艺法律政策中的权利书写.md,76.75,8.87,48.75,28.8,55.5,10.87,77.5,6.58,73.75,8.93,78.75,4.44,66.59,20.8,13.2
42,raw/xueshuyuekan/676037573_陈柏峰_2018_学术月刊_村务民主治理的类型与机制.md,40.0,8.66,71.75,2.28,83.0,1.73,84.25,1.3,81.5,4.39,67.25,1.92,65.47,14.7,3.9
43,raw/xueshuyuekan/676037574_郭亮_2018_学术月刊_村级组织的土地控制：功能及其弱化——理解地权冲突的一个视角.md,60.0,16.72,63.25,9.44,57.25,3.96,87.75,1.79,86.25,3.03,75.5,2.6,69.81,15.0,7.2
44,raw/xueshuyuekan/676037575_李娜_2018_学术月刊_基层社会的秩序生产能力——从计划性与自发性秩序的关系切入.md,33.75,4.15,66.0,7.58,53.5,1.5,77.25,5.36,59.5,11.32,62.0,4.95,55.06,15.2,6.7
45,raw/xueshuyuekan/676636432_章永乐_2018_学术月刊_“大国协调”与“大妥协”：条约网络、银行团与辛亥革命的路径.md,68.75,21.37,82.75,3.11,57.5,6.18,91.0,3.67,87.0,2.12,69.0,1.0,78.29,16.3,7.2
46,raw/xueshuyuekan/676636433_王鸿铭和马佳昌_2018_学术月刊_中国革命和世界政治视野下的民主集中制.md,30.0,0.0,27.25,21.8,38.75,4.15,60.75,4.66,53.75,17.58,33.75,5.45,38.13,17.5,10.3
47,raw/xueshuyuekan/676838582_蔡守秋_2018_学术月刊_环境权实践与理论的新发展.md,55.5,15.91,62.0,7.71,53.75,11.39,59.0,10.82,68.25,7.5,61.5,5.22,57.54,21.3,11.3
48,raw/xueshuyuekan/676838583_朱冰_2018_学术月刊_自然资源“环境权”在财产法中的理论逻辑.md,58.5,14.04,76.0,6.04,84.0,2.0,86.5,1.5,79.5,4.15,77.75,6.57,76.71,14.1,6.6
49,raw/xueshuyuekan/7001738926_尤陈俊_2019_学术月刊_“讼师恶报”话语模式的力量及其复合功能.md,62.0,15.48,51.25,30.77,76.25,9.96,88.25,2.49,82.25,4.6,61.5,5.22,71.16,20.8,13.2
50,raw/xueshuyuekan/7001738927_杜金_2019_学术月刊_故事、图像与法律宣传——以清代《圣谕像解》为素材.md,31.25,2.17,43.75,6.5,44.5,7.63,78.0,4.9,82.75,1.92,57.0,5.43,47.53,10.9,5.5
51,raw/xueshuyuekan/7002154030_罗梁波_2019_学术月刊_行政理性场景的演变格局 传统、现实与未来.md,31.75,2.05,30.0,20.31,53.25,7.85,76.75,7.05,58.0,3.08,79.75,3.49,45.72,17.6,8.4
52,raw/xueshuyuekan/7002363983_翟翌_2019_学术月刊_作为特许人的行政主体与“受许人的对象人”之间关系的变迁及价值——一个行政过程论的视角.md,73.0,5.39,78.25,6.02,77.5,3.57,78.75,2.59,79.5,4.15,68.5,9.86,79.38,16.4,6.1
53,raw/xueshuyuekan/7002363985_岳林_2019_学术月刊_论隐私的社会生成机制——以习俗和法律关系为视角.md,64.25,7.01,68.75,7.85,55.5,18.79,84.75,3.42,86.0,0.71,61.75,2.05,71.59,16.1,7.7
54,raw/xueshuyuekan/7002655982_王利明_2019_学术月刊_论民法典物权编中居住权的若干问题.md,65.5,13.9,45.5,27.17,59.25,16.69,89.0,2.24,88.75,2.59,79.5,1.66,65.22,20.6,12.4
55,raw/xueshuyuekan/7002655983_汪洋_2019_学术月刊_从用益权到居住权 罗马法人役权的流变史.md,58.75,12.93,47.5,15.21,72.25,1.79,85.0,6.08,77.0,1.58,80.75,2.59,64.66,18.0,7.7
56,raw/xueshuyuekan/7002846475_赖骏楠_2019_学术月刊_清末四川财政的 集权 与 分权 之争 以经征局设立及其争议为切入点.md,63.25,14.46,81.75,3.11,49.25,5.85,83.0,3.61,85.0,2.12,60.0,5.0,69.78,11.4,6.6
57,raw/xueshuyuekan/7002846476_谢晶_2019_学术月刊_儒法之间的刑罚根据论 清律窃盗罚则的古今之维.md,59.0,17.58,74.5,3.57,51.75,5.63,78.25,6.02,77.75,2.68,68.25,2.49,68.9,17.4,7.3
58,raw/xueshuyuekan/7003025618_常安_2019_学术月刊_缔造社会主义的中华民族大家庭——新中国民族区域自治制度的奠基历程.md,33.75,4.15,30.0,16.58,37.0,2.12,80.75,5.26,80.5,6.1,70.25,6.02,44.5,14.6,7.7
59,raw/xueshuyuekan/7003025619_翟志勇_2019_学术月刊_《共同纲领》与新中国的不成文宪法(1949-1954).md,70.75,29.35,84.75,3.27,74.75,4.55,82.5,0.87,85.5,1.5,58.25,2.49,79.51,14.9,8.1
60,raw/xueshuyuekan/7100212662_强世功_2019_学术月刊_批判法律理论的场域——从《秋菊打官司》看批判法律理论的转向.md,75.25,19.61,89.25,1.64,42.5,4.33,85.5,4.56,80.25,4.82,77.25,1.92,75.18,10.87,7.1
61,raw/xueshuyuekan/7100212663_王启梁_2019_学术月刊_法治的社会基础——兼对“本土资源论”的新阐释.md,43.25,8.61,72.5,4.82,52.0,9.72,82.75,3.96,83.0,5.0,79.75,3.7,60.97,11.0,6.9
62,raw/xueshuyuekan/7101006210_薛军_2019_学术月刊_中国法上的行为能力宣告 制度内涵与解释论重塑.md,80.25,7.63,72.75,9.52,62.25,19.42,87.25,5.26,81.25,9.44,65.5,13.72,79.96,20.2,12.5
63,raw/xueshuyuekan/7101182876_陈景良和王小康_2020_学术月刊_宋代司法中的事实认知与法律推理.md,54.5,11.5,71.25,2.59,73.5,18.24,83.5,3.64,83.0,4.12,61.0,1.0,71.62,14.8,7.9
64,raw/xueshuyuekan/7101182877_侯猛_2020_学术月刊_新中国政法话语的流变.md,30.0,3.54,33.75,11.39,42.5,7.5,74.5,6.69,78.25,2.49,61.75,4.09,43.56,10.2,6.9
65,raw/xueshuyuekan/7101182958_雷磊_2020_学术月刊_立法的特性——从阶层构造论到原则权衡理论.md,68.75,20.96,82.75,8.7,69.0,17.19,87.75,1.48,85.75,1.3,75.0,7.91,79.56,16.6,11.1
66,raw/xueshuyuekan/7101182959_汪雄_2020_学术月刊_寻找失落的“精神”——从《刑法》第20条第3款的适用范围反思刑法的立法价值.md,70.0,6.48,72.5,4.82,47.0,7.38,79.0,4.12,75.75,3.77,78.5,2.87,68.65,13.5,5.7
67,raw/xueshuyuekan/7101492303_吴义龙_2020_学术月刊_集体经营性建设用地入市的现实困境与理论误区——以“同地同权”切入.md,72.75,20.31,69.5,5.72,50.0,9.35,82.25,6.34,78.75,2.59,76.75,3.7,73.21,19.2,9.2
68,raw/xueshuyuekan/7101497695_苏力_2020_学术月刊_历史中国的分配正义 实践与思想.md,89.25,2.59,53.75,5.45,76.75,4.92,89.5,1.66,85.75,1.3,73.75,3.03,81.75,19.8,3.6
69,raw/xueshuyuekan/7101497703_苏力和于明_2020_学术月刊_基于中国经验的学术创造——苏力教授访谈.md,30.0,0.0,18.75,19.49,8.25,8.32,33.0,27.78,43.25,30.52,64.5,6.38,24.22,25.9,17.8
70,raw/xueshuyuekan/7102038023_陈柏峰_2020_学术月刊_面向水利供给的农地制度模式选择.md,46.75,16.63,60.25,10.64,59.0,15.12,85.25,0.43,85.0,0.71,70.5,1.66,61.15,17.3,8.7
71,raw/xueshuyuekan/7102601812_郑少华和王慧_2020_学术月刊_环境法的定位及其法典化.md,60.0,8.66,78.0,6.48,43.5,1.5,78.75,2.59,70.5,16.19,68.0,7.07,65.74,17.1,8.2
72,raw/xueshuyuekan/7102601813_魏磊杰_2020_学术月刊_我国国际法研究的主体性缺失问题 反思与祛魅.md,41.25,8.93,82.25,7.08,33.75,8.93,78.0,1.87,72.5,4.33,73.25,4.87,58.22,14.6,6.9
73,raw/xueshuyuekan/7102601814_李勤通_2020_学术月刊_法律儒家化及其解释力.md,61.0,17.92,76.0,1.22,62.75,5.07,86.25,2.05,84.25,1.48,75.25,2.17,73.78,13.2,5.8
74,raw/xueshuyuekan/7102609322_黄宗智_2020_学术月刊_中国的新综合性视野和远瞻性愿景 “一带一路”倡议与亚投行.md,25.0,11.73,21.25,13.86,30.75,8.17,72.75,3.96,37.0,21.06,71.0,2.24,36.37,20.6,11.7
75,raw/xueshuyuekan/7102609323_章永乐_2020_学术月刊_“门罗主义”话语的跨洋旅行——亚洲主义、省域空间与“旧邦新造”进程.md,61.75,15.69,72.5,3.57,48.0,9.97,80.0,3.81,85.75,2.49,59.0,4.64,66.15,17.3,7.7
76,raw/xueshuyuekan/7103036692_尤陈俊_2020_学术月刊_法治建设的国家能力基础 从国族认同建构能力切入.md,63.0,14.73,78.0,6.16,45.5,5.77,79.25,5.17,75.0,6.12,63.5,2.96,67.26,11.0,7.9
77,raw/xueshuyuekan/7103036693_赖骏楠_2020_学术月刊_清代四川州县的契税治理 以南部县契税诉讼为侧重点.md,66.5,10.9,80.5,5.72,71.5,7.4,87.5,3.57,82.75,8.7,69.0,1.0,78.62,13.5,7.2
78,raw/xueshuyuekan/7103609281_周尚君_2020_学术月刊_中国立法体制的组织生成与制度逻辑.md,32.5,4.33,58.75,4.15,39.0,12.21,78.0,1.87,73.5,9.39,56.25,4.15,50.53,13.3,7.0
79,raw/xueshuyuekan/7103609282_汪洋_2020_学术月刊_民法典无因管理的内外体系与规范呈现.md,67.25,13.63,67.5,8.29,75.0,2.12,87.25,1.3,83.0,4.69,71.5,8.17,76.38,18.73,7.33
80,raw/xueshuyuekan/88838975504849574850484948_胡凌_2019_学术月刊_从开放资源到基础服务 平台监管的新视角.md,69.25,5.63,79.75,8.53,77.25,5.63,80.75,4.97,81.5,4.97,74.25,2.49,78.84,16.6,6.2
81,raw/xueshuyuekan/88838975504849574850484949_戴昕_2019_学术月刊_重新发现社会规范 中国网络法的经济社会学视角.md,53.0,17.01,83.0,6.67,81.5,5.5,83.25,3.7,87.5,1.66,80.0,1.41,77.21,13.8,6.9
82,raw/xueshuyuekan/88838975504849574852484949_刘艳红_2019_学术月刊_以科学立法促进刑法话语体系发展.md,37.5,4.33,75.75,6.26,47.0,2.12,70.75,4.87,75.75,17.8,68.25,2.49,56.0,12.3,7.3
83,raw/xueshuyuekan/XSYK2021001009_何志鹏和申天娇_2021_学术月刊_国际软法在全球治理中的效力探究.md,60.5,3.64,72.0,12.0,36.75,9.83,71.25,6.46,79.5,4.15,60.75,9.18,61.54,18.0,8.7
84,raw/xueshuyuekan/XSYK2021003010_侯猛_2021_学术月刊_法律的经验研究范式 以规范研究为参照.md,31.25,2.17,40.0,16.58,46.25,8.93,73.25,5.8,76.75,7.19,64.5,8.85,45.84,21.1,9.5
85,raw/xueshuyuekan/XSYK2021003012_程金华_2021_学术月刊_事实的法律规范化——从农业社会到信息革命.md,32.5,2.5,75.0,2.12,76.5,7.53,79.25,2.95,79.75,4.92,75.5,2.96,61.26,14.1,4.4
86,raw/xueshuyuekan/XSYK2021003018_周东平和薛夷风_2021_学术月刊_北朝胡汉融合视域下中古 五刑 刑罚体系形成史新论——兼评冨谷至《汉唐法制史研究》.md,68.75,6.5,88.75,0.83,61.75,13.66,79.75,4.92,79.5,0.87,64.0,4.0,77.81,13.1,5.9
87,raw/xueshuyuekan/XSYK2021004008_曹海和军梁赛_2021_学术月刊_理解 中国之治 的密钥 协同优势 与 优势协同.md,30.0,0.0,54.25,6.06,36.75,3.03,77.0,7.87,62.5,13.16,58.75,4.15,47.96,14.2,6.6
88,raw/xueshuyuekan/XSYK2021004010_戴昕_2021_学术月刊_看破不说破 一种基础隐私规范.md,86.25,4.38,58.25,8.32,78.5,4.09,88.5,2.5,84.75,2.17,81.0,2.24,83.82,15.3,4.6
89,raw/xueshuyuekan/XSYK2021004011_谢晶_2021_学术月刊_律贵诛心 清代盗律及实践中的 主观恶性.md,87.0,2.12,78.25,2.49,55.75,2.49,83.75,1.48,71.5,11.26,60.75,4.87,75.0,13.9,4.8
90,raw/xueshuyuekan/XSYK2021005010_郭亮_2021_学术月刊_家国关系 理解近代以来中国基层治理变迁的一个视角.md,30.0,3.54,63.75,14.31,60.75,9.78,86.0,4.69,78.0,1.41,61.0,9.3,56.54,16.1,8.3
91,raw/xueshuyuekan/XSYK2021006011_刘忠_2021_学术月刊_革命的保卫者 — 大公安 格局发生的历史缘起.md,56.0,12.33,61.25,16.35,63.25,8.61,83.25,4.92,81.25,2.59,57.0,15.64,66.93,21.4,11.6
92,raw/xueshuyuekan/XSYK2021006012_陈洪杰_2021_学术月刊_司法公正的象征建构 在认知与规范之间.md,60.5,13.16,55.0,20.92,65.5,4.27,86.0,1.22,82.75,4.82,57.75,8.53,68.09,21.5,10.2
93,raw/xueshuyuekan/XSYK2021007002_沈国明_2021_学术月刊_重大改革于法有据 习近平法治思想的重要论断.md,30.0,0.0,22.0,18.49,36.0,6.96,73.0,4.12,61.5,12.54,60.5,3.64,39.29,17.5,8.8
94,raw/xueshuyuekan/XSYK2021008009_杨东和李子硕_2021_学术月刊_监管技术巨头 技术力量作为市场支配地位认定因素之再审视.md,67.0,9.67,74.5,6.58,49.25,4.76,75.0,2.12,83.0,3.0,73.5,3.64,67.51,13.3,5.7
95,raw/xueshuyuekan/XSYK2021008010_吴文芳和刘洁_2021_学术月刊_新技术变革时代 人 的变迁与社会法回应.md,41.25,13.86,67.25,11.65,49.5,9.63,76.25,3.63,59.5,8.85,82.5,1.8,57.06,18.0,9.5
96,raw/xueshuyuekan/XSYK2021009011_李晟_2021_学术月刊_社会与历史语境中的法律修辞 共同体建构视角下的宏观功能.md,47.5,18.87,56.75,16.78,46.5,5.02,83.25,4.97,79.5,4.15,69.0,7.28,57.91,21.7,11.0
97,raw/xueshuyuekan/XSYK2021010010_朱林方_2021_学术月刊_中国共产党党章的百年变迁——主题与变奏.md,31.25,2.17,16.75,5.36,48.0,4.9,77.75,1.79,75.0,5.39,74.25,4.92,41.74,12.5,4.7
98,raw/xueshuyuekan/XSYK2021011010_武飞_2021_学术月刊_论经验法则在刑事司法裁判中的论证.md,73.0,18.61,61.75,4.09,66.75,7.69,80.75,3.27,85.5,1.5,60.75,4.87,74.07,15.4,7.7
99,raw/xueshuyuekan/XSYK2022001011_霍政欣和陈锐达_2022_学术月刊_文化主权视域下流失文物追索的法理思考——基于石窟寺流失文物的分析.md,35.0,6.12,68.0,7.35,56.25,3.03,86.0,2.45,82.25,6.1,74.25,2.28,58.51,11.7,5.2
100,raw/xueshuyuekan/XSYK2022002009_阎天_2022_学术月刊_中国劳动法学的宪法观 成形、嬗变与展望.md,74.75,15.61,72.5,10.9,60.25,2.86,87.0,2.12,90.0,2.0,82.0,3.08,79.54,11.7,7.0
101,raw/xueshuyuekan/XSYK2022004010_石冠彬_2022_学术月刊_民法典精神损害赔偿制度的规范构造与价值定位.md,73.5,16.65,55.75,16.18,56.75,8.87,81.5,5.22,69.5,13.14,73.75,5.45,71.25,19.6,12.6
102,raw/xueshuyuekan/XSYK2022005009_黄锫_2022_学术月刊_行政执法中声誉制裁的法律性质与规范形态.md,51.5,21.8,62.0,3.46,76.0,8.25,78.5,9.6,85.0,0.0,54.5,6.58,66.65,15.6,9.6
103,raw/xueshuyuekan/XSYK2022005010_程雪阳_2022_学术月刊_从家国到人民共和国 天下-中国 转型的历史逻辑.md,35.0,3.08,55.75,6.06,33.75,5.45,83.75,1.48,67.75,6.57,60.25,5.21,51.13,14.5,5.4
104,raw/xueshuyuekan/XSYK2022006012_何志鹏_2022_学术月刊_国际法治中的“大国不可能三角”.md,32.5,2.5,35.0,6.12,70.75,9.68,67.0,17.42,82.25,4.55,67.25,1.92,47.96,14.1,8.1
105,raw/xueshuyuekan/XSYK2022006013_魏磊杰_2022_学术月刊_新时代中国国际法观的理论构成与多元实践.md,64.5,7.57,68.25,10.06,47.0,3.0,81.0,4.58,77.0,2.92,72.75,3.96,66.18,12.4,6.2
106,raw/xueshuyuekan/XSYK2022006020_何志鹏和宋瑞琛_2022_学术月刊_国际法的四重意象与中国国际法建设——何志鹏教授访谈.md,30.0,0.0,21.75,16.41,28.75,4.15,48.75,14.31,49.0,14.61,65.75,2.49,32.25,19.3,10.0
107,raw/xueshuyuekan/XSYK2022007010_郭亮_2022_学术月刊_法律之外的秩序：土地的“习惯性利益”及其治理——基于两个社区的讨论.md,36.25,4.15,47.5,12.5,57.25,1.3,85.0,3.08,72.75,3.11,53.0,2.12,54.07,10.3,5.0
108,raw/xueshuyuekan/XSYK2022007011_房慧颖_2022_学术月刊_刑法谦抑性原则的价值定位与规范化构造——以刑民关系为切入点.md,54.25,19.6,63.0,19.09,66.5,18.23,73.25,4.92,77.25,1.3,56.25,4.92,64.94,19.0,13.1
109,raw/xueshuyuekan/XSYK2022009009_沈国明_2022_学术月刊_中国社会主义法治文化的历史回溯和进路.md,31.25,2.17,41.5,7.89,40.0,3.54,73.25,3.03,71.0,11.02,48.75,8.93,45.09,16.2,7.0
110,raw/xueshuyuekan/XSYK2023001010_杜文俊和陈超_2023_学术月刊_引入与调适：自然惩罚免刑规则的本土化建构.md,61.0,13.36,71.75,2.49,66.75,7.69,83.0,2.74,79.0,2.24,75.0,5.0,72.72,15.6,6.5
111,raw/xueshuyuekan/XSYK2023002008_赖骏楠和景风华_2023_学术月刊_法律儒家化未曾发生？——以家庭法制为中心.md,85.0,2.12,81.25,2.59,76.25,7.29,87.75,3.19,86.5,1.5,78.75,5.63,86.22,11.6,4.3
112,raw/xueshuyuekan/XSYK2023003009_章永乐_2023_学术月刊_“大国协调”的重负与近代中国的“旧邦新造”.md,56.75,13.94,78.75,4.15,44.0,3.74,88.25,2.49,84.5,2.87,77.25,7.19,67.09,13.1,6.6
113,raw/xueshuyuekan/XSYK2023004017_宋亚辉等_2023_学术月刊_法学学科十年发展综述及评价（2009-2018年）——基于人文社科综合指数的分析.md,30.0,0.0,42.0,9.19,29.5,3.64,78.0,6.16,45.0,7.91,66.5,2.6,44.03,12.3,5.7
