编号,期刊,年份,期,题目,作者,作者机构,主要学科,标识性概念匹配,原创性理论匹配,框架结构匹配,匹配条目总数,匹配方法统计,备注
1238,法学研究,2024,2,债权人代位权的类型化构造,俞彦韬,华东政法大学,民法学；民事诉讼法学,民事诉讼法[民事诉讼法学],债法体系的理论创新[民法学],运行论（立法论、实施论、解释论）[法律史学],3,"keyword:3, semantic:29, both:1, llm_verified:3",置信度:high；本文是一篇典型的民法教义学论文，核心贡献在于对《民法典》债权人代位权制度进行类型化重构。其论证深度结合了民事强制执行程序，体现了实体法与程序法交叉研究的自主知识体系建构特征。匹配项均基于论文核心论证逻辑与明确文本引用，严格遵循30字以内证据要求。
1260,法学研究,2020,3,公司决议瑕疵立法的范式转换与体系重构,丁勇,华东政法大学,商法学；法理学；民事诉讼法学,法律行为[法理学]；行为保全[民事诉讼法学],,,2,"keyword:7, semantic:0, both:0, llm_verified:2",置信度:high；本文核心议题为公司决议瑕疵的实体效力与诉讼救济，学科归属明确为商法学（公司法）。候选库中的“法律行为”是论文批判的旧范式核心，“行为保全”是论文重构诉讼程序的关键支点，二者均有明确文本支撑且属核心论证环节。其余候选条目（如法律关系、商事登记、调整对象理论、关系论）在文中仅为附带提及或语境借用，非核心讨论对象，故不予匹配。
1266,法学研究,2024,3,公司法上社会责任条款司法化的逻辑与再塑,吴维锭,中国人民大学法学院,商法学；法理学；社会法学,公司治理[商法学]；法律关系[法理学]；法律原则[法理学]；劳动者[社会法学],,,4,"keyword:8, semantic:5, both:0, llm_verified:4",置信度:high；该论文立足于中国《公司法》修订背景，核心属于商法学（公司法学）范畴，重点探讨公司治理结构下董事信义义务与社会责任条款的司法衔接。论证过程中深度融合了法理学的规范属性分析（法律原则/法律关系）与社会法学的利益相关者保护视角（劳动者权益），体现了中国法学自主知识体系构建中部门法理论与基础法学、交叉学科理论的有机互动。
1307,法学研究,2020,4,刑民交叉实体问题的解决路径——_法律效果论_之展开,陈少青,对外经济贸易大学法学院,刑法学；民法学；法理学,罪刑法定原则[刑法学]；民事法律关系[民法学],,刑法基础论（刑法概说、基本原则、刑法效力）[刑法学]；第四部分：运行论（法的制定到实施）[法理学],4,"keyword:3, semantic:19, both:2, llm_verified:4",置信度:high；该论文针对中国司法实践中长期存在的“刑民交叉”难题，批判性反思了主要源自德日刑法学的“违法论”，原创性提出契合中国法典化语境的“法律效果论”。其通过体系解释协调刑民规范目的，强调法秩序统一性与刑法补充性原则，主张从“行为评价”转向“适用结果”评价，为构建中国自主的部门法交叉适用理论提供了重要范式。该研究立足本土司法经验（如民间借贷、保险诈骗等典型案例），推动刑民教义学的双向互动与体系融贯，高度契合“中国法学自主知识体系”中坚持问题导向、推动理论原创与打破西方理论路径依赖的核心导向。
1337,法学研究,2018,1,受贿犯罪的保护法益,张明楷,清华大学法学院,刑法学,,,犯罪论[刑法学],1,"keyword:5, semantic:4, both:0, llm_verified:1",置信度:high；注：提供的论文文本实际作者为劳东燕（载《法学研究》2019年第5期），非张明楷。本文严格遵循刑法教义学路径，聚焦法益界定与构成要件解释的教义学检验，未深入涉及候选库中的法律史、诉讼法、数字法学或涉外法学等条目，故仅精准匹配刑法学犯罪论框架。
1412,法学研究,2023,4,夫妻债务的清偿顺序,叶名怡,上海财经大学法学院,民商法学；民事诉讼法学,,,运行论（立法论、实施论、解释论）[法律史学],1,"keyword:2, semantic:0, both:0, llm_verified:1",置信度:high；论文实质属于民商法（婚姻家庭法）与民事执行法交叉研究。候选条目中的“运行论”框架虽标注于法律史学下，但实为当代中国部门法实证研究（尤其是民法典时代）的通用方法论范式。论文聚焦具体制度解释与规则构建，未将“法律关系”作为法理学层面的抽象标识性概念进行专门理论探讨，故未匹配该条目。
1428,法学研究,2025,2,实体性查封优先权的理论证成及体系展开,马强伟,上海财经大学法学院,民事诉讼法学；民法学,民事诉讼法[民事诉讼法学],,,1,"keyword:4, semantic:1, both:0, llm_verified:1",置信度:high；本文虽涉及担保物权、实体权利等民法概念，但核心议题为民事执行程序中的查封优先权性质与体系构建，故主学科为民事诉讼法学。候选库中的“法律行为”“运行论”“行政法原理”“侵权责任理论”均非本文核心讨论对象或论证框架，故未予匹配。
1450,法学研究,2022,2,已公开个人信息的刑法保护,王华伟,北京大学法学院,刑法学,,刑事责任理论[刑法学],,1,"keyword:3, semantic:0, both:0, llm_verified:1",置信度:high；论文聚焦侵犯公民个人信息罪的罪与非罪界限，属于犯罪成立与责任认定范畴，未涉及刑罚裁量、种类与执行制度，故不匹配“刑事制裁论”框架；文中提及“商事主体”仅为说明企业信息公开数据来源，非商法核心议题，不予匹配。
1510,法学研究,2023,5,数字私力救济——基于远程控制网联物的权利实现,王琦,北京航空航天大学法学院,民法学；数字法学,,数字经济法治保障理论[数字法学]；契合数字社会的数字法学理论[民法学],,2,"keyword:2, semantic:5, both:0, llm_verified:2",置信度:high；本文虽援引美德案例作比较法考察，但核心立足中国司法实践与《民法典》教义学展开，未实质涉及国际法/国际经济法的主权或跨境治理议题；法理学与法律史学条目在文中无对应论证结构或核心概念。
1519,法学研究,2023,3,整体法秩序视野下被害人自陷风险的理论重塑,陈璇,中国人民大学刑事法律科学研究中心,刑法学；法理学；民法学,共同犯罪[刑法学]；法律责任[法理学],刑事责任理论[刑法学],犯罪论[刑法学],4,"keyword:3, semantic:10, both:3, llm_verified:4",置信度:high；本文以刑法学为核心，但明确主张打破部门法壁垒，在“整体法秩序”视野下统合刑民责任分配，体现了中国法学自主知识体系强调的体系化与跨部门法协同思维。匹配项均严格基于文本中明确讨论的概念与理论框架。
1553,法学研究,2024,6,正当防卫中的退避义务,江溯,北京大学法学院,刑法学,正当防卫[刑法学],,,1,"keyword:2, semantic:6, both:0, llm_verified:1",置信度:high；本文属典型的刑法教义学研究，聚焦正当防卫这一违法阻却事由的理论限缩与实务适用。候选库中的其他条目（如刑事责任理论、刑事审判、人权/国际/法律史学理论等）在文中均无实质性讨论或文本支撑，故不予匹配。
1574,法学研究,2022,6,民法典所有权保留之担保权构成,纪海龙,北京大学法学院,民法学；法律史学,,,第二：物权理论[民法学]；运行论（立法论、实施论、解释论）[法律史学],2,"keyword:1, semantic:8, both:0, llm_verified:2",置信度:high；本文系典型的民法教义学研究，聚焦动产担保功能主义转型下的物权定性问题。虽运用历史比较方法，但核心目的在于现行法的体系解释与制度完善，故以民法学为主学科。未匹配其他候选条目因论文未涉及土地公有制物权、知识产权、法理学本体论或商法治理等主题。
1602,法学研究,2021,4,法律解释与法律续造的区分标准,陈坤,南京大学法学院,法理学；刑法学；法律史学,法律规则[法理学]；正当防卫[刑法学],,运行论（立法论、实施论、解释论）[法律史学],3,"keyword:7, semantic:5, both:0, llm_verified:3",置信度:high；本文实质为典型的法学方法论/法理学论文。刑法学概念仅作为法理分析的例证出现；法律史学条目中的“运行论”实为通用法理框架，本文精准对应其中的“解释论”维度。整体与“中国法学自主知识体系”中的法学方法论及解释论建构高度契合。
1711,法学研究,2023,4,虚假陈述比例连带责任的认定模式与体系展开,邹学庚,中国政法大学民商经济法学院,民法学；商法学,法律责任[法理学],,第七：侵权责任理论[民法学],2,"keyword:1, semantic:5, both:0, llm_verified:2",置信度:high；本文虽涉及证券市场监管背景，但核心论证逻辑、规范依据（民法典第1168、178、519条等）及理论框架均深度植根于民法侵权责任体系。候选库中的国际法、刑法、知识产权法条目与本文主题无实质关联，故未予匹配。论文通过提炼本土司法经验并重构责任分担规则，为中国法学自主知识体系在商事侵权领域的理论创新提供了典型范例。
1764,法学研究,2022,5,论选择性要素的认识错误,柏浪涛,华东师范大学法学院,刑法学,犯罪构成[刑法学],,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学],2,"keyword:4, semantic:2, both:1, llm_verified:2",置信度:high；本文系典型的刑法教义学研究，聚焦于犯罪论体系中的构成要件理论与错误论，未涉及数字法学或知识产权法学内容，亦未直接展开“刑事责任理论”的原创性探讨。
1779,法学研究,2024,5,财产犯罪中财产性利益的事实占有_以存款债权为中心,徐凌波,南京大学法学院,刑法学；民法学,民事权利[民法学],,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学],2,"keyword:2, semantic:6, both:0, llm_verified:2",置信度:high；本文系典型的刑法教义学论文，核心贡献在于重构财产犯罪中“占有”概念的教义学体系。虽涉及民法权利归属概念，但仅为刑民区分的参照系，主体仍属刑法犯罪论范畴。
1821,法学研究,2019,3,防卫限度判断中的利益衡量,徐成,北京大学法学院,刑法学；法理学,正当防卫[刑法学],刑事责任理论[刑法学]；社会危害性理论[刑法学],犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]；第三部分：价值论（法的价值与评价）[法理学],5,"keyword:7, semantic:3, both:1, llm_verified:5",置信度:high；本文系典型的刑法教义学论文，核心围绕正当防卫限度展开，深度契合刑法学犯罪论与责任理论框架；同时引入利益衡量与法益位阶方法，体现了法理学价值论在部门法中的交叉应用。论证逻辑严密，与自主知识体系中的刑法教义学及法价值评价高度关联。
1824,法学研究,2025,2,集体商标和证明商标保护体系的重构,王迁,华东政法大学,知识产权法学,,商标相似性与混淆可能性之关系[知识产权法学],,1,"keyword:1, semantic:4, both:0, llm_verified:1",置信度:medium；论文核心贡献在于提出集体商标与证明商标保护体系的“功能主义”重构，主张注册条件与显著性脱钩、侵权认定与来源混淆脱钩。候选库中仅“商标相似性与混淆可能性之关系”与论文对混淆标准的批判性重构有直接关联，其余条目（如要式性、权利平衡、平行保护）在文中未实质展开。
1864,法学研究,2025,6,生态环境法典的复合结构及其体系化适用,陈海嵩,武汉大学环境法研究所,生态环境法学；法理学,生态环境法典[生态环境法学]；法律体系[法理学],生态环境法法典化理论[生态环境法学]；生态环保体系化理论[生态环境法学],以法典内容为总纲，深化生态环境法基础理论的体系化与本土化[生态环境法学]；第四部分：运行论（法的制定到实施）[法理学],6,"keyword:7, semantic:19, both:3, llm_verified:6",置信度:high；该论文高度契合中国法学自主知识体系建构要求。其以中国生态环境法典编纂实践为基点，突破传统“上位法优先”或“特别法优先”的简单适用逻辑，原创性提出“复合结构”与“体系化适用”方案，实现了环境法学基础理论的本土化创新与体系化升华，对完善中国特色社会主义法治体系具有重要学术价值。
1909,中国法学,2025,6,论股东协议的组织法效力,王湘淳,中央财经大学法学院,商法学；民法学,公司治理[商法学],利益平衡理论[知识产权法学],第三：合同理论[民法学],3,"keyword:4, semantic:1, both:1, llm_verified:3",置信度:high；本文虽属商法/公司法范畴，但深度交叉民法合同理论，并明确运用利益平衡方法论。知识库中“利益平衡理论”虽列于知识产权法学下，但作为通用法学方法论在本文中得到典型应用。
