id,title,author,first_author_org,year,issue,page_start,page_end,abstract,keywords,clc_code,cite_count,doi,pdf_path
924,中国宪法社会权的体系解释,刘晗[1],,2023,3,168,186,中国宪法中规定的社会权条款不能孤立地进行理解，也不能简单地套用传统宪法学的积极权利或社会经济权利等概念进行解释。在立足于中国宪法的体系解释视角下，社会权具有民生保障、民主政治和国家建构的三重维度。在中国宪法的整体结构和规范意图中，社会权也不只是一种社会经济权利，而且是带有社会主义性质的基本权利。具体而言，社会权不仅是个人向政府索要经济福利的请求权，也是实现完整社会身份的基本公民权。社会权不仅仅具有社会经济性质，更具有一定程度上的政治性质。社会权的规范结构，特别是社会权的功能及义务指向，也需要基于此种性质进行建构。社会权的功能更多地体现为客观价值秩序功能，其具体的保护义务不仅指向合宪性审查机关和司法机关等具体国家机构，同时也指向了整个国家治理体系，从而形成一种中国式的社会权制度保障模式。,社会权;共同富裕;社会主义宪法;劳动权;体系解释,C,,,法学三大刊论文/中国社会科学/中国宪法社会权的体系解释.pdf
925,中国式物权制度的文明刻度,蔡立东[1],,2022,12,108,119,中国式物权制度对标以公有制为前提发展市场经济、平衡实现人民福祉与民事主体权利的制度需求，以“三重所有权”结构安排捍卫中国特色社会主义公有制、以“多层级用益物权体系”制度创新满足人民对美好生活的向往、以“平等保护”法律原则维护市场机制的有效运作。这着眼于中国现实国情与发展阶段，兼顾公正与效率，妥善平衡公私关系，萃取了中国实践的自主性探索，实现了坚持公有制与发展市场经济、维护人民福祉与保障民事主体权利的有效结合，创新性地回应了财产权文明的世界之问，提升了财产权文明的时代刻度。,中国式物权制度;三重所有权;多层级用益物权;平等保护,C,,,法学三大刊论文/中国社会科学/中国式物权制度的文明刻度.pdf
927,中国政府治理的法治路径,石佑启;杨治坤,"广东外语外贸大学,广州510420",2018,1,66,89,"中国政府治理包括自治和共治两个维度.从政府管理迈向政府治理的过程,也是从法制政府走向法治政府的同步过程.政府治理与法治存在根本保证、治道框架、内在价值、外在形式、目标追求、建设路径上的契合,为实现政府治理的法治化奠定了基础.政府治理的多元主体结构、规则多元、过程交互、方式多样以及纠纷复合性对法治建设提出了新要求.回应政府治理的法治需求,应推进政府职能定位及其权力配置的法定化,拓展行政主体类型并完善行政组织法,丰富法的渊源并以共识性规则改造支配性规则,以交互性为指针完善行政程序制度,规范多样化的行政行为,建立多元纠纷解决机制与强化权利救济等,以彰显政府治理的法治之道.在政府治理与法治融合互动的进程中,需要协调政府治理陷阱、法治的限度等潜在风险.",政府管理;政府治理;法治政府;治理现代化;法治,D63,0,,法学三大刊论文/中国社会科学/中国政府治理的法治路径.pdf
928,中国民众刑法偏好研究,白建军,"北京大学法学院,北京100871",2017,1,143,163,民众偏好较重还是较轻的刑法，以及如何处理刑法与民意的关系，是刑事法治不能回避的问题。搭载北京大学CFPS项目，以3万多样本为数据来源的实证研究发现，中国民众的刑法偏好系数低于0到1之间的中间线，为0．36，说明大样本研究的证据并不支持中国民众普遍偏好重法的说法；传统犯罪被害遭遇对刑法偏好并无显著影响，刑法偏好是各种社会因素的扭曲反映。应当对与刑法有关的个案舆论保持高度审慎和冷静，对刑法偏好作出有限响应，警惕刑法的过度社会化和刑法资源的“通胀”倾向。刑事立法或司法是否积极响应民众的某种刑法偏好，取决于代表性、溯因性和依法性三方面的考量。个案舆论更需先通过实证研究转换成某种刑法偏好，经过上述三方面考量后，再决定是否以及如何响应。,刑法偏好;刑法轻重;影子刑法;舆论;民意;刑法修订,D924,40,,法学三大刊论文/中国社会科学/中国民众刑法偏好研究.pdf
929,中国法律规范体系与立法效果评估,"冯玉军[1,2]","中国人民大学法学院,北京100872;河北经贸大学,石家庄050061",2017,12,138,159,法律是治国之重器，良法是善治之前提，完备而良善的法律规范体系不仅是建设法治体系的第一要义，而且是法治国家的基本标志以及政权稳定和社会发展的基本保障。总结我国法治量化评估的经验教训，对法治体系进行宏观评估，须秉持清晰明确的价值观，有严谨合理的法治理论支撑，注重指标设定与统计的逻辑自洽，方能实现多主体／类型／视角的综合统计研究之目标。以立法完备性、科学性、民主性、受监督性为指标构建评估体系，设计针对社会公众、法学专家和法律执业者的调查问卷，借助随机抽样和立意调查两种实证研究方法，考察我国法律规范体系的实际状况并给出具有可信度的评估结果，了解我国法律体系创制与实施的底数，为完善以宪法为核心的法律体系提供助力。,法律规范体系 立法完备性 立法民主性 立法科学性 立法受监 督性,F299.23,0,,法学三大刊论文/中国社会科学/中国法律规范体系与立法效果评估.pdf
930,中国法治社会的结构及其运行机制,陈柏峰[1],"中南财经政法大学法学院、教育部,武汉430073",2019,1,65,88,"""法治社会""是具有高度中国实践特色的概念,它指公权力运作系统之外的社会生活的法治化。它与法治国家、法治政府各有独立范畴,构成了中国法治的""一体两翼""。国家动员能力、既有法律体系、社会治理基础、社会矛盾态势等具体背景,对法治社会建设构成引导或制约。法治社会建设应有强辨识性的目标指引:引导公众有序参与社会治理、维护良性的物质文化生活秩序、调适基本公共服务资源的供求、界定社会组织的适当行为空间。基层是法治社会建设的主要场域,应当直面基层特质的制约,着眼基层社会的主要事务,发挥基层社会组织的功能。同时,还应在角色分工基础上,有效整合政府、社会组织、企业、律师等法治社会建设的重要主体.",法治社会;社会治理;基层;政府;社会组织,D920.0,0,,法学三大刊论文/中国社会科学/中国法治社会的结构及其运行机制.pdf
931,中国法理学进步的阶梯,徐显明[1],不详,2018,11,42,57,"1978年到2018年的40年,中国取得了一系列历史性成就,这其中包括创造了经济快速发展、社会长期稳定和从无法可依到形成完善的法律体系三大奇迹。法治奇迹推动和保障了经济奇迹与社会奇迹,而法学则引领和支撑了法治奇迹。在法学的百花园中,法理学具有基础和先导地位,法理学的发展代表着中国法学的水平。从中国法理学进步的阶梯中可以发现,中国法学的高度和中国法治的奇迹蕴藏于法理学的创新智慧之中。",,C,0,,法学三大刊论文/中国社会科学/中国法理学进步的阶梯.pdf
932,中国海上航运的安保模式及其法律保障——以应对21世纪海上丝路的海盗为例,"李卫海[1,2]","中国政法大学,北京102249",2015,6,131,151,建设“一带一路”，是实现中华民族伟大复兴的重大战略决策。海上航运的安全，在“一带一路”战略中占有重要地位。近年来，海盗、海上武装劫持、海上恐怖袭击等海上暴恐事件频繁发生，对国际和中国海运利益构成极大威胁，对实施海上丝路战略构成严重挑战。确保海运安全免遭海上暴力的直接措施有五种。以防范索马里海盗为例，聘请专业安保公司实施驻船武装护卫，是确保海运安全的有效模式，不仅符合国际法，也为许多发达国家和地区法律所允许，在夯实中国海洋总体安全上具有战略意义。在中国语境下，该模式面临法律风险，应在新型国家安全法律观的统合下，加强法律保障，与军舰（机）护航齐力协作，共同型构中国海运安全的最佳模式，确保中国海上核心利益的实现。,一带一路;海运安全;武装护卫;安保公司;国家安全法律观,D921,76,,法学三大刊论文/中国社会科学/中国海上航运的安保模式及其法律保障——以应对21世纪海上丝路的海盗为例.pdf
933,中国生态环境法治的空间拓展及其规则创新,刘超[1],"华侨大学法学院,泉州362021",2024,9,77,88,我国生态环境单行法体系在还原主义方法论下针对环境要素分别立法，难以承载“美丽中国”的文明意蕴。中国生态环境法治亟待空间拓展，其理论基础源于以社群主义统合还原主义与整体主义方法论，在调整对象上应为多类型的环境空间供给专门规则，在运行场域上基于生态环境法治须应对大尺度空间环境问题。在《生态环境法典》中系统创新调整对象维度下的特定规则、运行场域维度下的协同规则和空间整合维度下的衔接规则，可契合生态环境法治空间拓展的规则创新需求。,生态环境法典;环境空间;社群主义;自然地理单元,C,,,法学三大刊论文/中国社会科学/中国生态环境法治的空间拓展及其规则创新.pdf
934,中国知识产权法律变迁的基本面向,吴汉东[1],"中南财经政法大学,武汉430074",2018,8,108,125,"中国知识产权法律理论和实践,经历了从移植、引进到自立、创新的过程。改革开放40年来,中国从基本国情和发展需要出发,准确把握制度属性功能,塑造法律价值目标,建构法治与发展运行机制,能动地进行制度转化和法律精神再造,实现了知识产权法律本土化。与此同时,一方面积极应对法律现代化发展中的多元性、阶段性、风险性、非现代性问题,通过知识产权的制度创新以促进知识经济发展;另一方面有效应对法律一体化格局中的多样化、碎片化、单边化问题,参与知识产权全球治理体系建构,成为知识产权国际保护的新动力。中国在知识产权法律本土化的基础上,开辟了自己的法律现代化实现方式和法律一体化选择路径,其法律变迁的基本面向具有丰富的创新内涵和明确的实践导向。",知识产权;法律变迁;本土化;现代化;一体化,D923.4,0,,法学三大刊论文/中国社会科学/中国知识产权法律变迁的基本面向.pdf
935,中国自治型公司法的理论证成及制度实现,赵万一;赵吟,"西南政法大学民商法学院,重庆401120",2015,12,156,176,中国新一轮公司法改革的最终目标应定位于实现从管制型公司法向自治型公司法的战略转型，其立法要旨是充分尊重公司的意思自治和行为自由。确立此项目标的可能性在于制度逻辑考量下的内生性要求，必要性则在于国际竞争视域下的现实性需要。其目的是充分尊重和保护公司自我意志的自由表达，意在指导市场主体在法律许可的范围内尽力去追求其自身的正当利益。在此基础上围绕公司的组织形式、设立条件、治理结构、营业自由、管控体制、淘汰机制等方面进行制度构建。自治型公司法应树立以效益为基点的均衡发展理念，在全覆盖式的法律框架结构下，借助技术性与伦理性并重的规范配置，形成股东与利益相关者兼容的制度体系。可以借鉴公司法框架外的一些制度，提升法律解释与司法判例的作用，实现公司法与相关法律间的同步完善。,自治型公司法;公司法改革;意思自治;效益优先;均衡理念,D922.29,31,,法学三大刊论文/中国社会科学/中国自治型公司法的理论证成及制度实现.pdf
936,中国著作权立法中的制度创新,熊琦,"华中科技大学法学院,武汉430074",2018,7,118,138,"中国著作权立法从经验借鉴转向主动调整,制度安排应以回应中国问题为目标。然而如何从著作权理论和实践中准确提炼中国本土问题,却因比较法和本土法的价值设定差异而存在分歧。我国现今更多采取的著作权立法取向,是直接以法定化的权利分配来取代需要经历市场博弈达致的意定安排,而权利人和使用者又从各自立场出发,期待法律赋予符合自身利益的自治空间,最终导致在立法选择和司法审判上缺乏基本共识而陷入困境。通过梳理本土制度变革历史可以发现,实现中国著作权法制度创新的关键,是管制规则和自治规则如何在价值定位上协调和互补,以及如何解决继受规则的制度理念与本土规则的运作传统的协同配合。解决该问题的方法,是在中国社会、产业与文化背景下划定著作权领域私人自治与政府管制的边界,一方面允许本土版权产业主体根据自身的市场和社会环境创制著作权市场交易规则,另一方面在存在市场失灵之处优化政府干预。",著作权法修改;中国问题;法律继受;立法价值;私人自治,F724.721,0,,法学三大刊论文/中国社会科学/中国著作权立法中的制度创新.pdf
937,中国行政法学学术体系的构造,周佑勇[1],,2022,5,103,121,"深入研究我国行政法学学术体系的基本构造,明确其发展方向,是加快构建中国特色行政法学的一项基础工作.从原理上分析,中国行政法学学术体系的内在结构性元素可分为实定法体系、理论体系和方法体系三部分.实定法体系是学术体系的基础,主要包括行政法规范体系和制度体系;理论体系是学术体系的核心,主要由行政法理论基础、基本原则体系及范畴体系构成;方法体系则是连接实定法体系和理论体系的纽带和转化器,涵盖政法法学、法教义学和社科法学三种研究方法.伴随着《行政诉讼法》颁行30余年来的制度实践与学理深化,中国行政法学学术体系已日趋成熟,但仍然存在不少问题.进一步创新的基本路径在于以法典化推进行政基本法建设,以法理思维提升学术品质,以法治实践形塑中国特质,以完备的形态承载整个学术体系.",中国行政法学学术体系;实定法体系;理论体系;方法体系,C,,,法学三大刊论文/中国社会科学/中国行政法学学术体系的构造.pdf
938,习近平法治思想的实践逻辑、理论逻辑和历史逻辑,张文显[1],吉林大学长春130012,2021,3,4,25,"在中国特色社会主义法治建设伟大实践中创立的习近平法治思想是当代中国马克思主义法治理论、21世纪马克思主义法治理论,其缘于经验的升华、理性的凝结、历史的淬炼,具有鲜明的实践逻辑、科学的理论逻辑和深厚的历史逻辑.认真研究、科学把握、深刻领悟这三个逻辑及其内在联系,必将深化对习近平法治思想时代背景、基本精神、核心要义、实践要求的理解和把握,必将增强对习近平法治思想的政治认同、理论认同、情感认同,必将增强新时代全面依法治国、建设法治中国、推进国家治理现代化的信念伟力、思想定力、前进步力.",习近平法治思想;实践逻辑;理论逻辑;历史逻辑,D920.0,0,,法学三大刊论文/中国社会科学/习近平法治思想的实践逻辑、理论逻辑和历史逻辑.pdf
939,事实、证据与事实认定,张保生,"中国政法大学证据科学教育部重点实验室,北京100088",2017,8,110,130,事实与证据的特性及其关系，是证据法元理论问题。事实作为证据法的逻辑起点，包含着事实认定中各种问题的胚芽，其固有特性特别是经验性之历史展开，则塑造了证据的基本属性，也决定了事实认定必然是一个经验推论过程。事实认定者通过“证据之镜”所获得的事实真相，是对事实之可能性的判断，达不到绝对的确定性，却具有盖然性或似真性。司法证明理论从精确概率走向模糊概率或似真性理论的发展趋势，对我国司法改革和证据法学研究具有借鉴意义。,经验事实;证据之镜;事实认定;司法理念,D925.2,0,,法学三大刊论文/中国社会科学/事实、证据与事实认定.pdf
940,事权划分法治化的中国路径,刘剑文[1];侯卓[2],"北京大学法学院、中国财税法治战略研究院,北京100871",2017,2,102,122,推进各级政府事权规范化、法律化，是深化财税改革和建设法治财税的重要举措。我国应在法律层面明确各级政府间的事权划分，通过法律机制保障和促进各级政府履行事权。赋予政府事权是为有效保障公民基本权利的实现，在明晰政府职能边界的前提下，运用法律手段、遵循谦抑原则厘定事权范围。事权划分的经济标准更为基础，法律标准对由经济标准导出的划分格局进行调适。事权可分为立法监管和事权实施，现行法律体系对立法监管事权的配置相对合理，但其中法律监督、特别是司法事权应适当向中央集中；在事权实施层面，现行制度为行政化分权留下空间，且不同层级政府间事权同质化较明显。事权划分法治化要求制定财政基本法明确各级政府的事权；政府间财权划分和转移支付体制的优化、预算硬约束的实现，是事权划分的制度保障；从根本上，通过对公民权利体系的法律确认，可以促进法定事权的落实。,财税体制;事权划分;基本权利;法治化;国家治理,F812.2,58,,法学三大刊论文/中国社会科学/事权划分法治化的中国路径.pdf
941,互联网金融的法律规制——基于信息工具的视角,杨东[1],"中国人民大学法学院、中国人民大学民商事法律科学研究中心,北京100872",2015,4,107,126,互联网金融具有满足小微投融资者需求、降低交易成本、促进竞争、提高市场透明度的功能，发挥着分散金融风险、回归金融本质的作用。我国现行管制型立法对互联网金融信用风险规制失灵，催生刚性兑付和过度依赖担保，抑制竞争且加剧信息不对称。因而，应重新厘定信息工具范式，以大数据和征信体系为基础，规范市场准入并明确市场主体法律地位，发挥信息工具之风险预警作用，构建投资者保护立法，完善融合型互联网金融法律规制体系，以弥补管制型立法的制度错配和法律漏洞，并规制信用风险、降低系统性风险，进而激励竞争、促进信息的产生和传递、分散和利用风险，以发挥互联网金融内生的优化资源配置的功能。,互联网金融;信息不对称;信用风险规制;信息工具,F832.1,39,,法学三大刊论文/中国社会科学/互联网金融的法律规制——基于信息工具的视角.pdf
942,人合性在有限公司中的终结,梁上上[1],,2022,11,69,88,我国公司法受大陆法系传统的影响，通说认为人合性是有限公司的根本属性。体现人合性的典型场合为股权转让中的人合性维护，也是目前困扰最大的场合。根据人合性理论，公司法将股权转让区分为内部转让与外部转让，内部转让因不涉及人合性可以自由转让，外部转让因涉及人合性而受到严格限制。区分模式遵循的是一种静态的人合性观念，没有考虑到股权结构、时间之矢等因素对人合性的影响，难以适应人合性的动态化事实，导致人合性规制的体系矛盾。人合性的本质是人际关系，不应通过法律的强制性规定来加以规制，我国《公司法》第71条的规定是失败的。人合性价值的位阶为：股权流通性优先于人合性；当事人约定优先于法律规定。股权转让应以自由转让为原则，人合性因素可以成为限制股权转让的一种约定事由，但不是法定事由。随着人合性与股权转让的法律上强制性关系的剥离，作为有限公司根本属性的人合性将终结。,人合性;股权转让;流通性;法定主义;意定主义,C,,,法学三大刊论文/中国社会科学/人合性在有限公司中的终结.pdf
943,人工智能法律治理的路径拓展,张凌寒[1],"中国政法大学数据法治研究院,北京100083",2025,1,91,110,人工智能的法律治理正处在规则形成期。基于风险的法律治理路径的“简单化”与人工智能法律治理需求“复杂化”存在矛盾，我国既有立法实践进行的本土化改良仍无法克服其固有局限。随着我国人工智能法律治理进入系统集成阶段，围绕实现人工智能高质量发展和高水平安全良性互动的治理主旨，要引入适应性治理理念统筹安全发展，应对人工智能多重属性构成复杂系统的治理需求，并高度容纳技术发展的不确定性和未知前景。在此基础上构建具有适应性的人工智能法律治理框架、方案、工具，拓展形成符合我国本土制度环境、技术产业基础与发展目标的法律治理路径。,人工智能立法;人工智能风险;分级分类;关键人工智能;适应性治理,D99,,,法学三大刊论文/中国社会科学/人工智能法律治理的路径拓展.pdf
944,人性民法与物性刑法的融合发展,刘艳红[1],"东南大学法学院,南京211189",2020,4,114,137,"人性民法与物性刑法相生相成,两者都是整体法秩序不可或缺的重要组成部分。以民法总则为引领的民法典,坚持以人为本理念并充满人性关怀,是为人性民法。刑法作为有形或无形的犯罪打击工具,具备物性或工具主义的形而上学本质特征,是为物性刑法。在公私法相互渗透与融合的法治时代背景下,人性民法有助于强化刑法的人性色彩,并据以形成人道化的刑法立法、人本化的刑法制度、人文化的刑法解释,实现对物性刑法的人文化成。公私法的同源性与共通性决定了物性刑法对人性民法的发展也有着强化保障的重要作用。物性刑法有助于重塑民法公平正义的价值理念,提升民法规范的强制性以及加强对民事主体私权利的保障,并促进民法立法、民事司法的更迭与发展,实现对人性民法的影响渗透。人性民法与物性刑法的渗透与融合,是未来中国特色法学话语体系发展的全新脉络。",人性民法;物性刑法;民法典编纂;人文化成;强化保障,D92,0,,法学三大刊论文/中国社会科学/人性民法与物性刑法的融合发展.pdf
